name,rating,reviews,address,phone,website,hours,email,social_media,category,plus_code,url
International 3pl,4.8,42,"3500 NW 114th Ave, Miami, FL 33178",(305) 800-7447,international3pl.com,not_available,not_available,not_available,Logistics service,"RJ49+G7 Miami, Florida",https://www.google.com/maps/place/International+3pl/data=!4m7!3m6!1s0x88d9bea49437b3f3:0x2618cc9bdbc43e56!8m2!3d25.806324!4d-80.3818588!16s%2Fg%2F11bw_y1qdg!19sChIJ87M3lKS-2YgRVj7E25vMGCY?authuser=0&hl=en&rclk=1
ProShip3PL / 3PL Warehouse & FBA/FBM Fulfillment Center,5.0,11,"8975 NW 26th St, Doral, Miami, FL 33172",(786) 571-0217,proship3pl.com,not_available,not_available,not_available,Distribution service,"QMX5+3J Miami, Florida",https://www.google.com/maps/place/ProShip3PL+%2F+3PL+Warehouse+%26+FBA%2FFBM+Fulfillment+Center/data=!4m7!3m6!1s0x88d9b96d363a5b25:0x5d61810675f9b63e!8m2!3d25.797667!4d-80.34097!16s%2Fg%2F11rd8g478w!19sChIJJVs6Nm252YgRPrb5dQaBYV0?authuser=0&hl=en&rclk=1
Shipex 3PL,5.0,8,"1905-A NW 93rd Ave, Doral, FL 33172",(305) 851-5707,shipex.us,not_available,not_available,not_available,Shipping service,"QMR3+RG Doral, Florida",https://www.google.com/maps/place/Shipex+3PL/data=!4m7!3m6!1s0x88d9b996a88bdcd9:0x8319bcfbfbd34637!8m2!3d25.7921003!4d-80.3462448!16s%2Fg%2F11t9v3dpl0!19sChIJ2dyLqJa52YgRN0bT-_u8GYM?authuser=0&hl=en&rclk=1
International 3PL,1.0,2,"2910 NW 72nd Ave, Miami, FL 33122",(305) 800-7447,international3pl.com,not_available,not_available,not_available,Logistics service,"RM2P+7G Miami, Florida",https://www.google.com/maps/place/International+3PL/data=!4m7!3m6!1s0x88d9b92bfefcd28d:0xa195a9034b9bcec6!8m2!3d25.8006861!4d-80.3137053!16s%2Fg%2F11n69429ck!19sChIJjdL8_iu52YgRxs6bSwOplaE?authuser=0&hl=en&rclk=1
TPL Companies,5.0,2,"3500 NW 114th Ave #220, Doral, FL 33178",(800) 375-5170,tplcompanies.com,not_available,not_available,not_available,Logistics service,"RJ49+G3 Doral, Florida",https://www.google.com/maps/place/TPL+Companies/data=!4m7!3m6!1s0x88d9bea4a1eaaaab:0x372b136eeb0824ca!8m2!3d25.8062598!4d-80.3823058!16s%2Fg%2F11hczyfv1d!19sChIJq6rqoaS-2YgRyiQI624TKzc?authuser=0&hl=en&rclk=1
Global Warehouse Solutions & 3PL Fulfillment & Drayage Miami,4.8,164,"20600 NW 47th Ave, Miami Gardens, FL 33055",(305) 222-7506,global-warehousesolutions.com,not_available,not_available,not_available,Logistics service,"XP6C+W3 Miami Gardens, Florida",https://www.google.com/maps/place/Global+Warehouse+Solutions+%26+3PL+Fulfillment+%26+Drayage+Miami/data=!4m7!3m6!1s0x88d9a5884180ec07:0x3cb35f8daa7e7720!8m2!3d25.9623422!4d-80.2798679!16s%2Fg%2F1pwfvpfv8!19sChIJB-yAQYil2YgRIHd-qo1fszw?authuser=0&hl=en&rclk=1
Fulfillment Hub USA,4.9,124,"3450 NW 115th Ave, Miami, FL 33178",(786) 622-1102,fulfillmenthubusa.com,not_available,info@fulfillmenthubusa.com,not_available,Logistics service,"RJ48+74 Miami, Florida",https://www.google.com/maps/place/Fulfillment+Hub+USA/data=!4m7!3m6!1s0x88d9bfdfcbc8ed15:0xa21a790fadfde221!8m2!3d25.8056893!4d-80.3847412!16s%2Fg%2F11j2c560yl!19sChIJFe3Iy9-_2YgRIeL9rQ95GqI?authuser=0&hl=en&rclk=1
Priority Fulfillment,5.0,14,"12864 NW South River Dr, Medley, FL 33178",(954) 723-5707,priorityfulfillment.com,not_available,not_available,not_available,Logistics service,"VJRG+87 Medley, Florida",https://www.google.com/maps/place/Priority+Fulfillment/data=!4m7!3m6!1s0x88d9bd5d1781b301:0xc513cad0859ae05e!8m2!3d25.8908244!4d-80.3743191!16s%2Fg%2F11xd1v825y!19sChIJAbOBF1292YgRXuCahdDKE8U?authuser=0&hl=en&rclk=1
FR-Logistics,5.0,2,"10893 NW 17th St Unit # 121, Miami, FL 33172",(786) 300-1443,fr-logistics.net,not_available,not_available,not_available,Logistics service,"QJRG+3W Miami, Florida",https://www.google.com/maps/place/FR-Logistics/data=!4m7!3m6!1s0x2df8e5c79dd3f60f:0x3b250be68c830f71!8m2!3d25.790162!4d-80.372684!16s%2Fg%2F11pzszfktb!19sChIJD_bTncfl-C0RcQ-DjOYLJTs?authuser=0&hl=en&rclk=1
Premier Warehouse Logistics,5.0,7,"3600 NW 114 Ave Doral, Miami, FL 33178",(305) 877-5964,mypremierwarehouse.com,not_available,not_available,not_available,Warehouse,"RJ49+Q2 Miami, Florida",https://www.google.com/maps/place/Premier+Warehouse+Logistics/data=!4m7!3m6!1s0x88d9bf29c6bbb123:0x29045021e26eb9a5!8m2!3d25.8069047!4d-80.3823901!16s%2Fg%2F11rctyrgfy!19sChIJI7G7xim_2YgRpblu4iFQBCk?authuser=0&hl=en&rclk=1
