name,rating,reviews,address,phone,website,hours,email,social_media,category,plus_code,url
"Cargo Express International, Inc.",4.0,50,"8501 NW 17th St # 101, Doral, FL 33126",(305) 593-5132,ce-intl.com,not_available,not_available,not_available,Logistics service,"QMR7+HX Doral, Florida","https://www.google.com/maps/place/Cargo+Express+International,+Inc./data=!4m7!3m6!1s0x88d9bbb845e91d6f:0x3f9f80512844144c!8m2!3d25.7914787!4d-80.3350421!16s%2Fg%2F1v_s6pf5!19sChIJbx3pRbi72YgRTBREKFGAnz8?authuser=0&hl=en&rclk=1"
Flash Air Cargo,4.6,15,"5930 NW 99th Ave Suite 13, Doral, FL 33178",(305) 791-0403,flashaircargo.com,not_available,not_available,not_available,Freight forwarding service,"RJHR+2J Doral, Florida",https://www.google.com/maps/place/Flash+Air+Cargo/data=!4m7!3m6!1s0x88d9beb5e410791d:0xbb8f8e0d09938fc4!8m2!3d25.8275149!4d-80.3583832!16s%2Fg%2F1wyc53z9!19sChIJHXkQ5LW-2YgRxI-TCQ2Oj7s?authuser=0&hl=en&rclk=1
Champion Air Cargo INC,1.7,3,"1301 NW 84th Ave #115, Doral, FL 33126",(305) 456-9692,champion.com.co,not_available,not_available,not_available,Business broker,"QMP9+49 Doral, Florida",https://www.google.com/maps/place/Champion+Air+Cargo+INC/data=!4m7!3m6!1s0x88d9b90cf12e4869:0xddf1f869721dfbcd!8m2!3d25.7853631!4d-80.3316049!16s%2Fg%2F11h9ymwm7t!19sChIJaUgu8Qy52YgRzfsdcmn48d0?authuser=0&hl=en&rclk=1
Port Air Cargo International Corporation,not_available,not_available,"7925 NW 12th St # 112, Doral, FL 33126",(305) 437-8380,not_available,not_available,not_available,not_available,Freight forwarding service,"QMMF+CP Doral, Florida",https://www.google.com/maps/place/Port+Air+Cargo+International+Corporation/data=!4m7!3m6!1s0x88d9b90968b90c01:0x8a32eb1680fa42c!8m2!3d25.7835101!4d-80.3256346!16s%2Fg%2F1tk4rz91!19sChIJAQy5aAm52YgRLKQPaLEuowg?authuser=0&hl=en&rclk=1
Calair Cargo,4.1,9,"1765 NW 79th Ave, Doral, FL 33126",not_available,calaircargo.com,not_available,not_available,not_available,Airline,"QMRH+J2 Doral, Florida",https://www.google.com/maps/place/Calair+Cargo/data=!4m7!3m6!1s0x88d9b9833ed8cdaf:0x9d4c385d47baa05a!8m2!3d25.7915331!4d-80.322437!16s%2Fg%2F1tftxrwf!19sChIJr83YPoO52YgRWqC6R104TJ0?authuser=0&hl=en&rclk=1
Globe Air Cargo Inc,4.5,6,"7205 Corporate Center Dr #406, Miami, FL 33126",(305) 871-4011,globeaircargo.com,not_available,not_available,not_available,Freight forwarding service,"QMRP+X8 Miami, Florida",https://www.google.com/maps/place/Globe+Air+Cargo+Inc/data=!4m7!3m6!1s0x88d9b999086dfd17:0x175272d9cfe1d8fb!8m2!3d25.7923838!4d-80.3141811!16s%2Fg%2F1tfqglz8!19sChIJF_1tCJm52YgR-9jhz9lyUhc?authuser=0&hl=en&rclk=1
"Expedited World Cargo, Inc.",4.7,18,"9667 NW 33rd St, Doral, FL 33178",(305) 392-5085,ewcnow.com,not_available,not_available,not_available,Freight forwarding service,"RJ4X+7C Doral, Florida","https://www.google.com/maps/place/Expedited+World+Cargo,+Inc./data=!4m7!3m6!1s0x88d9b95aa28f4765:0x8dc300e425f64502!8m2!3d25.805659!4d-80.35147!16s%2Fg%2F1v9gktbf!19sChIJZUePolq52YgRAkX2JeQAw40?authuser=0&hl=en&rclk=1"
Cargo Land Air & Ocean Cargo,4.2,13,"2762 NW 112th Ave, Doral, FL 33172",(305) 477-2998,not_available,not_available,not_available,not_available,Freight forwarding service,"QJXC+WH Doral, Florida",https://www.google.com/maps/place/Cargo+Land+Air+%26+Ocean+Cargo/data=!4m7!3m6!1s0x88d9beba063e8f73:0xfbb31b496a56a88!8m2!3d25.7998436!4d-80.3785276!16s%2Fg%2F1vm_ypmh!19sChIJc48-Brq-2YgRiGqllrQxuw8?authuser=0&hl=en&rclk=1
UPS Air Cargo,3.8,194,"3401 NW 67th Ave, Miami, FL 33122",(800) 535-2345,aircargo.ups.com,not_available,not_available,not_available,Freight forwarding service,"RM4W+99 Miami, Florida",https://www.google.com/maps/place/UPS+Air+Cargo/data=!4m7!3m6!1s0x88d9b98c1fb74ad1:0x5911fb97e83a135b!8m2!3d25.8059837!4d-80.3040977!16s%2Fg%2F1tgwnhf8!19sChIJ0Uq3H4y52YgRWxM66Jf7EVk?authuser=0&hl=en&rclk=1
Trans Air System Inc,4.7,11,"8256 NW 30th Terrace, Doral, FL 33122",(305) 592-1771,not_available,not_available,not_available,not_available,Freight forwarding service,"RM29+GH Doral, Florida",https://www.google.com/maps/place/Trans+Air+System+Inc/data=!4m7!3m6!1s0x88d9b97a9c33db45:0x92b8537e76104936!8m2!3d25.8013668!4d-80.3311197!16s%2Fg%2F1tlqqsw4!19sChIJRdsznHq52YgRNkkQdn5TuJI?authuser=0&hl=en&rclk=1
Air France Cargo (MIA),4.0,43,"6650 NW 22nd St building 707b, Miami, FL 33122",(305) 760-4278,not_available,not_available,not_available,not_available,Freight forwarding service,"QMVV+8M Miami, Florida",https://www.google.com/maps/place/Air+France+Cargo+%28MIA%29/data=!4m7!3m6!1s0x88d9b996b8db143d:0x769d6743af05ba2!8m2!3d25.7932767!4d-80.3058267!16s%2Fg%2F11ggmbk_49!19sChIJPRTbuJa52YgRolvwOnTWaQc?authuser=0&hl=en&rclk=1
American Airlines Cargo,3.7,266,"6150 NW 17th St #714, Miami, FL 33126",(800) 227-4622,aacargo.com,not_available,not_available,not_available,Shipping service,"QPR3+7M Miami, Florida",https://www.google.com/maps/place/American+Airlines+Cargo/data=!4m7!3m6!1s0x88d9b9ebaa891d2d:0x74bf152c03b179ad!8m2!3d25.7906966!4d-80.2957891!16s%2Fg%2F11b8zvg2jk!19sChIJLR2Jquu52YgRrXmxAywVv3Q?authuser=0&hl=en&rclk=1
KLM Air Cargo - MIA,3.0,6,"6650 NW 22nd St building 707b, Miami, FL 33122",not_available,not_available,not_available,not_available,not_available,Freight forwarding service,"QMVV+8M Miami, Florida",https://www.google.com/maps/place/KLM+Air+Cargo+-+MIA/data=!4m7!3m6!1s0x88d9b9b88c2a41d5:0x317ae4f029dd849c!8m2!3d25.7932571!4d-80.305806!16s%2Fg%2F11fsm4x8g7!19sChIJ1UEqjLi52YgRnITdKfDkejE?authuser=0&hl=en&rclk=1
