name,rating,reviews,address,phone,website,hours,email,social_media,category,plus_code,url
MC CARGO SERVICES,5.0,3,"7939 NW 21st St, Doral, FL 33122",(305) 340-7430,not_available,not_available,not_available,not_available,Shipping company,"QMVF+PF Doral, Florida",https://www.google.com/maps/place/MC+CARGO+SERVICES/data=!4m7!3m6!1s0x88d9b974714d8323:0x1596ee39a194c0c0!8m2!3d25.7943059!4d-80.326295!16s%2Fg%2F11c6y_klhw!19sChIJI4NNcXS52YgRwMCUoTnulhU?authuser=0&hl=en&rclk=1
Cargo Sales Int'l,5.0,24,"8200 NW 41st St Suite 200, Doral, FL 33166",(866) 287-2583,cargosalesintl.com,Open 24 hours,not_available,not_available,Shipping service,"RM69+CQ Doral, Florida",https://www.google.com/maps/place/Cargo+Sales+Int%27l/data=!4m7!3m6!1s0x88d9b97d10c3d21b:0x88f1802ef9700a1a!8m2!3d25.8110604!4d-80.3306115!16s%2Fg%2F11h5q805wz!19sChIJG9LDEH252YgRGgpw-S6A8Yg?authuser=0&hl=en&rclk=1
"Cargo Express International, Inc.",4.0,50,"8501 NW 17th St # 101, Doral, FL 33126",(305) 593-5132,ce-intl.com,not_available,not_available,not_available,Logistics service,"QMR7+HX Doral, Florida","https://www.google.com/maps/place/Cargo+Express+International,+Inc./data=!4m7!3m6!1s0x88d9bbb845e91d6f:0x3f9f80512844144c!8m2!3d25.7914787!4d-80.3350421!16s%2Fg%2F1v_s6pf5!19sChIJbx3pRbi72YgRTBREKFGAnz8?authuser=0&hl=en&rclk=1"
"Sercargo Logistics, Doral, FL.",3.7,62,"1636 NW 82nd Ave, Doral, FL 33126",(786) 580-9021,sercargoexpresshn.com,not_available,not_available,not_available,Shipping service,"QMQ9+JM Doral, Florida","https://www.google.com/maps/place/Sercargo+Logistics,+Doral,+FL./data=!4m7!3m6!1s0x88d9b90cefd30bbf:0xa7f80948dc2166b8!8m2!3d25.7891104!4d-80.3307531!16s%2Fg%2F11c1nxp2t1!19sChIJvwvT7wy52YgRuGYh3EgJ-Kc?authuser=0&hl=en&rclk=1"
America Cargo Services,4.1,21,"8288 NW 68th St, Doral, FL 33166",(786) 558-9133,instagram.com,not_available,not_available,"{""instagram"": ""https://www.instagram.com/america_cargo2022""}",Freight forwarding service,"RMP9+27 Doral, Florida",https://www.google.com/maps/place/America+Cargo+Services/data=!4m7!3m6!1s0x88d9bbd72d5f23a9:0x25c3228e01df19c8!8m2!3d25.8350801!4d-80.3318049!16s%2Fg%2F11q4c61zd2!19sChIJqSNfLde72YgRyBnfAY4iwyU?authuser=0&hl=en&rclk=1
Planet Service Cargo,5.0,not_available,"8757 NW 35th Ln, Doral, FL 33172",(786) 266-5444,not_available,not_available,not_available,not_available,Freight forwarding service,"RM56+5G Doral, Florida",https://www.google.com/maps/place/Planet+Service+Cargo/data=!4m7!3m6!1s0x88d9b96152ba9165:0xf3fd4230179c0bf0!8m2!3d25.8078891!4d-80.3386667!16s%2Fg%2F11fx7vyxkv!19sChIJZZG6UmG52YgR8AucFzBC_fM?authuser=0&hl=en&rclk=1
KLS Cargo,4.0,not_available,"1633 NW 79th Ave, Doral, FL 33126",(305) 592-8229,not_available,not_available,not_available,not_available,Freight forwarding service,"QMQG+PQ Doral, Florida",https://www.google.com/maps/place/KLS+Cargo/data=!4m7!3m6!1s0x88d9b90ad56a7d49:0x4973591834728d98!8m2!3d25.78927!4d-80.3230975!16s%2Fg%2F1trtw3f7!19sChIJSX1q1Qq52YgRmI1yNBhZc0k?authuser=0&hl=en&rclk=1
Cargo Zone Doral,3.8,45,"3399 NW 72nd Ave STE 110, Miami, FL 33122",(305) 592-7707,cargozoneusa.com,not_available,not_available,not_available,Freight forwarding service,"RM4P+8X Miami, Florida",https://www.google.com/maps/place/Cargo+Zone+Doral/data=!4m7!3m6!1s0x88d9b985d5b7b853:0x86d746f7df0c908f!8m2!3d25.8058148!4d-80.3125408!16s%2Fg%2F1tdyrljt!19sChIJU7i31YW52YgRj5AM3_dG14Y?authuser=0&hl=en&rclk=1
"Ideal Cargo Services, Inc.",5.0,6,"3750 NW 114th Ave #6, Doral, FL 33178",(305) 592-8365,idealcargo.com,not_available,not_available,not_available,Freight forwarding service,"RJ59+F6 Doral, Florida","https://www.google.com/maps/place/Ideal+Cargo+Services,+Inc./data=!4m7!3m6!1s0x88d9b940fa3b2b55:0x31084abd48514944!8m2!3d25.808708!4d-80.3819501!16s%2Fg%2F1tcwmc73!19sChIJVSs7-kC52YgRRElRSL1KCDE?authuser=0&hl=en&rclk=1"
Commercial Cargo Supply Services Inc.,4.4,9,"1375 NW 97th Ave BAY 6, Doral, FL 33172",not_available,not_available,not_available,not_available,not_available,Freight forwarding service,"QJPX+72 Doral, Florida",https://www.google.com/maps/place/Commercial+Cargo+Supply+Services+Inc./data=!4m7!3m6!1s0x88d9b943046076a5:0x15abac6c94a0cc7b!8m2!3d25.7857086!4d-80.3524223!16s%2Fg%2F11jh6t_h67!19sChIJpXZgBEO52YgRe8yglGysqxU?authuser=0&hl=en&rclk=1
