name,rating,reviews,address,phone,website,hours,email,social_media,category,plus_code,url
Alva Freight International (Freight Forwarder & NVOCC),4.4,17,"7750 NW 46th St, Doral, FL 33166",(305) 403-7755,alvafreight.com,Closed ⋅ Opens 8 AM Thu,not_available,not_available,Freight forwarding service,"RM7H+W6 Doral, Florida",https://www.google.com/maps/place/Alva+Freight+International+%28Freight+Forwarder+%26+NVOCC%29/data=!4m7!3m6!1s0x88d9bbd5b1eeb741:0x69cce2b24a87b268!8m2!3d25.8148668!4d-80.3219217!16s%2Fg%2F1q5gnbz6m!19sChIJQbfusdW72YgRaLKHSrLizGk?authuser=0&hl=en&rclk=1
Doral Freight Logistics Inc,4.9,7,"11450 NW 34th St Suite 100, Doral, FL 33178",(305) 477-1022,doralfreight.com,not_available,not_available,not_available,Freight forwarding service,"RJ38+QP Doral, Florida",https://www.google.com/maps/place/Doral+Freight+Logistics+Inc/data=!4m7!3m6!1s0x88d9bbb9bfa0402d:0x2bdfe993687b97d8!8m2!3d25.8044871!4d-80.3831756!16s%2Fg%2F11bxg0lz3k!19sChIJLUCgv7m72YgR2Jd7aJPp3ys?authuser=0&hl=en&rclk=1
"Expedited World Cargo, Inc.",4.7,18,"9667 NW 33rd St, Doral, FL 33178",(305) 392-5085,ewcnow.com,not_available,not_available,not_available,Freight forwarding service,"RJ4X+7C Doral, Florida","https://www.google.com/maps/place/Expedited+World+Cargo,+Inc./data=!4m7!3m6!1s0x88d9b95aa28f4765:0x8dc300e425f64502!8m2!3d25.805659!4d-80.35147!16s%2Fg%2F1v9gktbf!19sChIJZUePolq52YgRAkX2JeQAw40?authuser=0&hl=en&rclk=1"
Servitrans Cargo Doral,3.7,6,"1736 NW 82nd Ave, Doral, FL 33126",(786) 334-6828,servitranscargo.com,not_available,not_available,not_available,Trucking company,"QMR9+4W Doral, Florida",https://www.google.com/maps/place/Servitrans+Cargo+Doral/data=!4m7!3m6!1s0x88d9b94175fc481d:0xe46733d9aea68332!8m2!3d25.7903337!4d-80.3301267!16s%2Fg%2F11y7v00p27!19sChIJHUj8dUG52YgRMoOmrtkzZ-Q?authuser=0&hl=en&rclk=1
Quick Shipping,3.8,68,"8501 NW 17th St Ste 120, Doral, FL 33126",(305) 594-9378,quickshipping.com,not_available,not_available,not_available,Freight forwarding service,"QMR7+XW Doral, Florida",https://www.google.com/maps/place/Quick+Shipping/data=!4m7!3m6!1s0x88d9b96cdce99cfb:0x2f7cd54398bfbc61!8m2!3d25.7924287!4d-80.3352494!16s%2Fg%2F1ygvt047r!19sChIJ-5zp3Gy52YgRYby_mEPVfC8?authuser=0&hl=en&rclk=1
Express International Freight,4.5,17,"8345 NW 74th St, Doral, FL 33166",(305) 477-4041,eifreight.com,not_available,not_available,not_available,Freight forwarding service,"RMR8+QJ Doral, Florida",https://www.google.com/maps/place/Express+International+Freight/data=!4m7!3m6!1s0x88d9bbb9b8daa49d:0x7b0be54f3484ab55!8m2!3d25.8418788!4d-80.3333935!16s%2Fg%2F1tfcv0f9!19sChIJnaTauLm72YgRVauENE_lC3s?authuser=0&hl=en&rclk=1
Xpress Freight Services,3.7,20,"8550 NW 17th St # 100, Doral, FL 33126",(305) 591-0033,shipwithxpress.com,not_available,not_available,not_available,Freight forwarding service,"QMQ8+95 Doral, Florida",https://www.google.com/maps/place/Xpress+Freight+Services/data=!4m7!3m6!1s0x88d9bbf055555555:0xfcab416abb061be3!8m2!3d25.7884442!4d-80.3346024!16s%2Fg%2F11f72_363y!19sChIJVVVVVfC72YgR4xsGu2pBq_w?authuser=0&hl=en&rclk=1
"Armellini Logistics- Miami, FL",4.1,108,"2811 NW 74th Ave, Doral, FL 33122",(305) 592-5933,armellini.com,not_available,not_available,not_available,Logistics service,"RM2M+3H Doral, Florida","https://www.google.com/maps/place/Armellini+Logistics-+Miami,+FL/data=!4m7!3m6!1s0x88d9b99caae672dd:0x780e4daa63745e5e!8m2!3d25.8002471!4d-80.3160018!16s%2Fg%2F1tsr3_sh!19sChIJ3XLmqpy52YgRXl50Y6pNDng?authuser=0&hl=en&rclk=1"
"Cargo Express International, Inc.",4.0,50,"8501 NW 17th St # 101, Doral, FL 33126",(305) 593-5132,ce-intl.com,not_available,not_available,not_available,Logistics service,"QMR7+HX Doral, Florida","https://www.google.com/maps/place/Cargo+Express+International,+Inc./data=!4m7!3m6!1s0x88d9bbb845e91d6f:0x3f9f80512844144c!8m2!3d25.7914787!4d-80.3350421!16s%2Fg%2F1v_s6pf5!19sChIJbx3pRbi72YgRTBREKFGAnz8?authuser=0&hl=en&rclk=1"
CONTINENTAL FREIGHT FORWARDING,4.5,19,"2301 NW 107th Ave, Doral, FL 33172",(305) 592-8198,cff-inc.com,not_available,not_available,not_available,Freight forwarding service,"QJVJ+MH Doral, Florida",https://www.google.com/maps/place/CONTINENTAL+FREIGHT+FORWARDING/data=!4m7!3m6!1s0x88d9bbf0133502df:0xb5b0a37528fadfdb!8m2!3d25.794222!4d-80.3685052!16s%2Fg%2F11bycg0mpr!19sChIJ3wI1E_C72YgR29_6KHWjsLU?authuser=0&hl=en&rclk=1
"Trans Envios Cargo Express Inc. - El Doral, EE. UU",4.0,71,"10411 NW 28th St SUITE C102 - C103, Doral, FL 33172",(786) 429-5856,trans-envios.com,not_available,not_available,not_available,Freight forwarding service,"QJXM+VR Doral, Florida","https://www.google.com/maps/place/Trans+Envios+Cargo+Express+Inc.+-+El+Doral,+EE.+UU/data=!4m7!3m6!1s0x88d9bbd237ac0583:0x1b246f925a2e7a50!8m2!3d25.7997494!4d-80.3654255!16s%2Fg%2F1tgb84lh!19sChIJgwWsN9K72YgRUHouWpJvJBs?authuser=0&hl=en&rclk=1"
