name,rating,reviews,address,phone,website,hours,email,social_media,category,plus_code,url
1st Leg Logistics,5.0,68,"2375 NW 70th Ave Unit B3, Doral, FL 33122",(786) 229-8488,not_available,not_available,not_available,not_available,Freight forwarding service,"QMWR+44 Doral, Florida",https://www.google.com/maps/place/1st+Leg+Logistics/data=!4m7!3m6!1s0x88d9b990a3eb7b6f:0x6737b4a746950b40!8m2!3d25.7953406!4d-80.3097337!16s%2Fg%2F11p4dvc6ks!19sChIJb3vro5C52YgRQAuVRqe0N2c?authuser=0&hl=en&rclk=1
"Expedited World Cargo, Inc.",4.7,18,"9667 NW 33rd St, Doral, FL 33178",(305) 392-5085,ewcnow.com,not_available,not_available,not_available,Freight forwarding service,"RJ4X+7C Doral, Florida","https://www.google.com/maps/place/Expedited+World+Cargo,+Inc./data=!4m7!3m6!1s0x88d9b95aa28f4765:0x8dc300e425f64502!8m2!3d25.805659!4d-80.35147!16s%2Fg%2F1v9gktbf!19sChIJZUePolq52YgRAkX2JeQAw40?authuser=0&hl=en&rclk=1"
Doral Freight Logistics Inc,4.9,7,"11450 NW 34th St Suite 100, Doral, FL 33178",(305) 477-1022,doralfreight.com,not_available,not_available,not_available,Freight forwarding service,"RJ38+QP Doral, Florida",https://www.google.com/maps/place/Doral+Freight+Logistics+Inc/data=!4m7!3m6!1s0x88d9bbb9bfa0402d:0x2bdfe993687b97d8!8m2!3d25.8044871!4d-80.3831756!16s%2Fg%2F11bxg0lz3k!19sChIJLUCgv7m72YgR2Jd7aJPp3ys?authuser=0&hl=en&rclk=1
Alva Freight International (Freight Forwarder & NVOCC),4.4,17,"7750 NW 46th St, Doral, FL 33166",(305) 403-7755,alvafreight.com,Closed ⋅ Opens 8 AM Thu,not_available,not_available,Freight forwarding service,"RM7H+W6 Doral, Florida",https://www.google.com/maps/place/Alva+Freight+International+%28Freight+Forwarder+%26+NVOCC%29/data=!4m7!3m6!1s0x88d9bbd5b1eeb741:0x69cce2b24a87b268!8m2!3d25.8148668!4d-80.3219217!16s%2Fg%2F1q5gnbz6m!19sChIJQbfusdW72YgRaLKHSrLizGk?authuser=0&hl=en&rclk=1
Amad Logistics,4.3,64,"8274 NW 14th St, Doral, FL 33126",(305) 888-0344,amadlogistics.com,not_available,not_available,not_available,Freight forwarding service,"QMP9+5X Doral, Florida",https://www.google.com/maps/place/Amad+Logistics/data=!4m7!3m6!1s0x88d9b90dbec8c66f:0xa6f05891b32bcc51!8m2!3d25.7854837!4d-80.3300944!16s%2Fg%2F1tfklzw2!19sChIJb8bIvg252YgRUcwrs5FY8KY?authuser=0&hl=en&rclk=1
GM International Freight Forwarders Corp.,4.9,99,"7517 NW 52nd St, Miami, FL 33166",(305) 599-7924,gmfreight.com,not_available,not_available,not_available,Freight forwarding service,"RMCJ+98 Miami, Florida",https://www.google.com/maps/place/GM+International+Freight+Forwarders+Corp./data=!4m7!3m6!1s0x88d9ba280882779f:0xecbc6b19c1853e46!8m2!3d25.8209356!4d-80.3192322!16s%2Fg%2F1tf87x0g!19sChIJn3eCCCi62YgRRj6FwRlrvOw?authuser=0&hl=en&rclk=1
Senaduana Freight Forwarders,4.5,74,"7778 NW 46th St, Doral, FL 33166",(305) 392-6741,senaduana.com,not_available,not_available,not_available,Freight forwarding service,"RM7G+XV Doral, Florida",https://www.google.com/maps/place/Senaduana+Freight+Forwarders/data=!4m7!3m6!1s0x88d9bbd5037eb395:0x8044da6e0726fb7d!8m2!3d25.8148845!4d-80.3228012!16s%2Fg%2F11b61rty5j!19sChIJlbN-A9W72YgRffsmB27aRIA?authuser=0&hl=en&rclk=1
CONTINENTAL FREIGHT FORWARDING,4.5,19,"2301 NW 107th Ave, Doral, FL 33172",(305) 592-8198,cff-inc.com,not_available,not_available,not_available,Freight forwarding service,"QJVJ+MH Doral, Florida",https://www.google.com/maps/place/CONTINENTAL+FREIGHT+FORWARDING/data=!4m7!3m6!1s0x88d9bbf0133502df:0xb5b0a37528fadfdb!8m2!3d25.794222!4d-80.3685052!16s%2Fg%2F11bycg0mpr!19sChIJ3wI1E_C72YgR29_6KHWjsLU?authuser=0&hl=en&rclk=1
"Sercargo Logistics, Doral, FL.",3.7,62,"1636 NW 82nd Ave, Doral, FL 33126",(786) 580-9021,sercargoexpresshn.com,not_available,not_available,not_available,Shipping service,"QMQ9+JM Doral, Florida","https://www.google.com/maps/place/Sercargo+Logistics,+Doral,+FL./data=!4m7!3m6!1s0x88d9b90cefd30bbf:0xa7f80948dc2166b8!8m2!3d25.7891104!4d-80.3307531!16s%2Fg%2F11c1nxp2t1!19sChIJvwvT7wy52YgRuGYh3EgJ-Kc?authuser=0&hl=en&rclk=1"
"Trans Envios Cargo Express Inc. - El Doral, EE. UU",4.0,71,"10411 NW 28th St SUITE C102 - C103, Doral, FL 33172",(786) 429-5856,trans-envios.com,not_available,not_available,not_available,Freight forwarding service,"QJXM+VR Doral, Florida","https://www.google.com/maps/place/Trans+Envios+Cargo+Express+Inc.+-+El+Doral,+EE.+UU/data=!4m7!3m6!1s0x88d9bbd237ac0583:0x1b246f925a2e7a50!8m2!3d25.7997494!4d-80.3654255!16s%2Fg%2F1tgb84lh!19sChIJgwWsN9K72YgRUHouWpJvJBs?authuser=0&hl=en&rclk=1"
Mundo Nuevo Usa Logistics,4.0,174,"1550 NW 96th Ave, Doral, FL 33172",(786) 558-7582,not_available,not_available,not_available,not_available,Freight forwarding service,"QJQX+CC Doral, Florida",https://www.google.com/maps/place/Mundo+Nuevo+Usa+Logistics/data=!4m7!3m6!1s0x88d9bbb630ddadb7:0xba3f8574fad058ad!8m2!3d25.7885112!4d-80.3513963!16s%2Fg%2F11cjp9ql5l!19sChIJt63dMLa72YgRrVjQ-nSFP7o?authuser=0&hl=en&rclk=1
Hecny Transportation Inc,3.9,21,"1904 NW 82nd Ave, Doral, FL 33126",(305) 594-5882,hecny.com,not_available,not_available,not_available,Freight forwarding service,"QMRC+Q7 Doral, Florida",https://www.google.com/maps/place/Hecny+Transportation+Inc/data=!4m7!3m6!1s0x88d9b973a7fcdff5:0x1f9dcd4b658e9854!8m2!3d25.7919374!4d-80.3293448!16s%2Fg%2F1vf9d516!19sChIJ9d_8p3O52YgRVJiOZUvNnR8?authuser=0&hl=en&rclk=1
Commodity Forwarders Inc,3.0,5,"8150 NW 21st St, Doral, FL 33122",(305) 593-1774,cfiperishables.com,not_available,not_available,not_available,Freight forwarding service,"QMVF+32 Doral, Florida",https://www.google.com/maps/place/Commodity+Forwarders+Inc/data=!4m7!3m6!1s0x88d9b984d776344b:0x952f0d23638deaa8!8m2!3d25.792725!4d-80.3274786!16s%2Fg%2F12640_0yg!19sChIJSzR214S52YgRqOqNYyMNL5U?authuser=0&hl=en&rclk=1
LUMA INTERNATIONAL FORWARDING,4.8,10,"9601 NW 33rd St, Doral, FL 33172",(305) 716-9709,lumainter.com,not_available,not_available,not_available,Freight forwarding service,"RJ3X+R7 Doral, Florida",https://www.google.com/maps/place/LUMA+INTERNATIONAL+FORWARDING/data=!4m7!3m6!1s0x88d9b95a955832d7:0xb3f33f75f24c2611!8m2!3d25.8046182!4d-80.3518432!16s%2Fg%2F1tdpg_qb!19sChIJ1zJYlVq52YgRESZM8nU_87M?authuser=0&hl=en&rclk=1
Maromar International Freight Forwarders,5.0,4,"3521 NW 82nd Ave, Doral, FL 33122",(305) 599-3380,not_available,not_available,not_available,not_available,Freight forwarding service,"RM4C+P9 Doral, Florida",https://www.google.com/maps/place/Maromar+International+Freight+Forwarders/data=!4m7!3m6!1s0x88d9b97b9b43fdcb:0x262267cf56945548!8m2!3d25.8067811!4d-80.3290703!16s%2Fg%2F11c508b6m7!19sChIJy_1Dm3u52YgRSFWUVs9nIiY?authuser=0&hl=en&rclk=1
