name,rating,reviews,address,phone,website,hours,email,social_media,category,plus_code,url
Freight Transportation Services | CP Broker 🚚,4.6,20,"8383 NW 66th St, Doral, FL 33166",(954) 605-6949,cpbroker.net,not_available,not_available,not_available,Freight forwarding service,"RMM8+FG Doral, Florida",https://www.google.com/maps/place/Freight+Transportation+Services+%7C+CP+Broker+%F0%9F%9A%9A/data=!4m7!3m6!1s0x88d9bb9f2e46cd71:0x2e5ef2072014fc19!8m2!3d25.8336258!4d-80.3336606!16s%2Fg%2F11j8wjxdgn!19sChIJcc1GLp-72YgRGfwUIAfyXi4?authuser=0&hl=en&rclk=1
Imperial Freight Brokers,4.0,22,"10890 NW 29th St, Doral, FL 33172",(305) 592-6910,imperialfreight.com,not_available,not_available,not_available,Freight forwarding service,"RJ2G+2R Doral, Florida",https://www.google.com/maps/place/Imperial+Freight+Brokers/data=!4m7!3m6!1s0x88d9b94a55555555:0xe41a0fbda04afb26!8m2!3d25.8000562!4d-80.372878!16s%2Fg%2F11f2wmf8tk!19sChIJVVVVVUq52YgRJvtKoL0PGuQ?authuser=0&hl=en&rclk=1
STT Logistics Group,4.7,"1,919","1150 NW 72nd Ave, Miami, FL 33126",(786) 709-9664,sttlogisticsgroup.com,not_available,info@sttlg.us,not_available,Logistics service,"QMJP+MQ Miami, Florida",https://www.google.com/maps/place/STT+Logistics+Group/data=!4m7!3m6!1s0x88d9b9a276bdae05:0x7331d67277c86e9a!8m2!3d25.7817418!4d-80.3130847!16s%2Fg%2F11j0v2_ml3!19sChIJBa69dqK52YgRmm7Id3LWMXM?authuser=0&hl=en&rclk=1
Compass Freight Brokers Inc,5.0,5,"8900 NW 35th Ln #140, Doral, FL 33172",(305) 363-2007,compassfreightbrokers.com,Closed ⋅ Opens 8:30 AM Thu,not_available,not_available,Freight forwarding service,"RM45+PQ Doral, Florida",https://www.google.com/maps/place/Compass+Freight+Brokers+Inc/data=!4m7!3m6!1s0x88d9b9471de66c7d:0xc4eb00548daed239!8m2!3d25.8067777!4d-80.340567!16s%2Fg%2F11fsvr7_wf!19sChIJfWzmHUe52YgROdKujVQA68Q?authuser=0&hl=en&rclk=1
US Freight Brokers Inc,2.0,2,"5121 NW 79th Ave, Doral, FL 33166",(786) 368-3302,not_available,not_available,not_available,not_available,Freight forwarding service,"RM9F+XX Doral, Florida",https://www.google.com/maps/place/US+Freight+Brokers+Inc/data=!4m7!3m6!1s0x88d9bbd3eb413de3:0xc71f4f4995e6b9fd!8m2!3d25.8199674!4d-80.3250099!16s%2Fg%2F1vg6vjtr!19sChIJ4z1B69O72YgR_bnmlUlPH8c?authuser=0&hl=en&rclk=1
"Expedited World Cargo, Inc.",4.7,18,"9667 NW 33rd St, Doral, FL 33178",(305) 392-5085,ewcnow.com,not_available,not_available,not_available,Freight forwarding service,"RJ4X+7C Doral, Florida","https://www.google.com/maps/place/Expedited+World+Cargo,+Inc./data=!4m7!3m6!1s0x88d9b95aa28f4765:0x8dc300e425f64502!8m2!3d25.805659!4d-80.35147!16s%2Fg%2F1v9gktbf!19sChIJZUePolq52YgRAkX2JeQAw40?authuser=0&hl=en&rclk=1"
"D Manganelli Logistics, INC",5.0,28,"8200 NW 33rd St STE 330, Doral, FL 33122",(305) 428-3374,dmanganelli.com,not_available,not_available,not_available,Customs broker,"RM39+7X Doral, Florida","https://www.google.com/maps/place/D+Manganelli+Logistics,+INC/data=!4m7!3m6!1s0x88d9b976dc58ca79:0x7b4bf9584d8b848b!8m2!3d25.8031592!4d-80.3301192!16s%2Fg%2F11clwj0l3b!19sChIJecpY3Ha52YgRi4SLTVj5S3s?authuser=0&hl=en&rclk=1"
Commodity Forwarders Inc,3.0,5,"8150 NW 21st St, Doral, FL 33122",(305) 593-1774,cfiperishables.com,not_available,not_available,not_available,Freight forwarding service,"QMVF+32 Doral, Florida",https://www.google.com/maps/place/Commodity+Forwarders+Inc/data=!4m7!3m6!1s0x88d9b984d776344b:0x952f0d23638deaa8!8m2!3d25.792725!4d-80.3274786!16s%2Fg%2F12640_0yg!19sChIJSzR214S52YgRqOqNYyMNL5U?authuser=0&hl=en&rclk=1
Armellini Freight Brokerage,4.0,12,"2811 NW 74th Ave, Miami, FL 33122",(305) 592-7008,armellinifreightbrokerage.com,not_available,not_available,not_available,Transportation service,"RM2M+39 Miami, Florida",https://www.google.com/maps/place/Armellini+Freight+Brokerage/data=!4m7!3m6!1s0x88d9b99caa40746d:0x6c865e32c8476!8m2!3d25.8002093!4d-80.3165777!16s%2Fg%2F11c58286qf!19sChIJbXRAqpy52YgRdoQs42XIBgA?authuser=0&hl=en&rclk=1
Hecny Transportation Inc,3.9,21,"1904 NW 82nd Ave, Doral, FL 33126",(305) 594-5882,hecny.com,not_available,not_available,not_available,Freight forwarding service,"QMRC+Q7 Doral, Florida",https://www.google.com/maps/place/Hecny+Transportation+Inc/data=!4m7!3m6!1s0x88d9b973a7fcdff5:0x1f9dcd4b658e9854!8m2!3d25.7919374!4d-80.3293448!16s%2Fg%2F1vf9d516!19sChIJ9d_8p3O52YgRVJiOZUvNnR8?authuser=0&hl=en&rclk=1
Kathmar Freight Logistics Services,5.0,11,"11155 NW 33rd St, Doral, FL 33172",(305) 597-9696,kathmarfreight.com,not_available,not_available,not_available,Freight forwarding service,"RJ3F+Q4 Doral, Florida",https://www.google.com/maps/place/Kathmar+Freight+Logistics+Services/data=!4m7!3m6!1s0x88d9bb2a9af6f323:0xfb6417da56e95da7!8m2!3d25.8044702!4d-80.3771632!16s%2Fg%2F11qn6y_drv!19sChIJI_P2miq72YgRp13pVtoXZPs?authuser=0&hl=en&rclk=1
Doral Freight Logistics Inc,4.9,7,"11450 NW 34th St Suite 100, Doral, FL 33178",(305) 477-1022,doralfreight.com,not_available,not_available,not_available,Freight forwarding service,"RJ38+QP Doral, Florida",https://www.google.com/maps/place/Doral+Freight+Logistics+Inc/data=!4m7!3m6!1s0x88d9bbb9bfa0402d:0x2bdfe993687b97d8!8m2!3d25.8044871!4d-80.3831756!16s%2Fg%2F11bxg0lz3k!19sChIJLUCgv7m72YgR2Jd7aJPp3ys?authuser=0&hl=en&rclk=1
Elite Broker Services,4.5,34,"8566 NW 72nd St, Doral, FL 33166",(786) 631-7203,elitebrokerservicescorp.com,not_available,not_available,not_available,Freight forwarding service,"RMQ7+F7 Doral, Florida",https://www.google.com/maps/place/Elite+Broker+Services/data=!4m7!3m6!1s0x88d9bb08fb80eb53:0x5157c52e4196d9b1!8m2!3d25.8387352!4d-80.3368528!16s%2Fg%2F11fmprnjb_!19sChIJU-uA-wi72YgRsdmWQS7FV1E?authuser=0&hl=en&rclk=1
Corp Master Freight America,5.0,9,"8950 NW 27th St Suite 313, Doral, FL 33172",(305) 470-1224,masterfreight.com,not_available,not_available,not_available,Freight forwarding service,"QMX5+PG Doral, Florida",https://www.google.com/maps/place/Corp+Master+Freight+America/data=!4m7!3m6!1s0x88d9b96906677f15:0xb8623b4cbf1752ab!8m2!3d25.799345!4d-80.3412246!16s%2Fg%2F1tnhz3p8!19sChIJFX9nBmm52YgRq1IXv0w7Yrg?authuser=0&hl=en&rclk=1
CONTINENTAL FREIGHT FORWARDING,4.5,19,"2301 NW 107th Ave, Doral, FL 33172",(305) 592-8198,cff-inc.com,not_available,not_available,not_available,Freight forwarding service,"QJVJ+MH Doral, Florida",https://www.google.com/maps/place/CONTINENTAL+FREIGHT+FORWARDING/data=!4m7!3m6!1s0x88d9bbf0133502df:0xb5b0a37528fadfdb!8m2!3d25.794222!4d-80.3685052!16s%2Fg%2F11bycg0mpr!19sChIJ3wI1E_C72YgR29_6KHWjsLU?authuser=0&hl=en&rclk=1
Alva Freight International (Freight Forwarder & NVOCC),4.4,17,"7750 NW 46th St, Doral, FL 33166",(305) 403-7755,alvafreight.com,Closed ⋅ Opens 8 AM Thu,not_available,not_available,Freight forwarding service,"RM7H+W6 Doral, Florida",https://www.google.com/maps/place/Alva+Freight+International+%28Freight+Forwarder+%26+NVOCC%29/data=!4m7!3m6!1s0x88d9bbd5b1eeb741:0x69cce2b24a87b268!8m2!3d25.8148668!4d-80.3219217!16s%2Fg%2F1q5gnbz6m!19sChIJQbfusdW72YgRaLKHSrLizGk?authuser=0&hl=en&rclk=1
Universal Freight and Logistics LLC,4.6,16,"1362 NW 78th Ave, Doral, FL 33126",(786) 699-0871,universalmiami.co,not_available,not_available,not_available,Freight forwarding service,"QMPG+4F Doral, Florida",https://www.google.com/maps/place/Universal+Freight+and+Logistics+LLC/data=!4m7!3m6!1s0x88d9b9e8ae0ca58f:0xb3c9eaad7080a2ef!8m2!3d25.7853143!4d-80.3237952!16s%2Fg%2F11f9_dbpvw!19sChIJj6UMrui52YgR76KAcK3qybM?authuser=0&hl=en&rclk=1
GM International Freight Forwarders Corp.,4.9,99,"7517 NW 52nd St, Miami, FL 33166",(305) 599-7924,gmfreight.com,not_available,not_available,not_available,Freight forwarding service,"RMCJ+98 Miami, Florida",https://www.google.com/maps/place/GM+International+Freight+Forwarders+Corp./data=!4m7!3m6!1s0x88d9ba280882779f:0xecbc6b19c1853e46!8m2!3d25.8209356!4d-80.3192322!16s%2Fg%2F1tf87x0g!19sChIJn3eCCCi62YgRRj6FwRlrvOw?authuser=0&hl=en&rclk=1
Ameritrans Express Inc,5.0,3,"7215 NW 41st St Bay K, Miami, FL 33166",(305) 591-8111,not_available,not_available,not_available,not_available,Customs broker,"RM6P+PH Miami, Florida",https://www.google.com/maps/place/Ameritrans+Express+Inc/data=!4m7!3m6!1s0x88d9b98766c32877:0x96bf634671656cb3!8m2!3d25.8118465!4d-80.3135623!16s%2Fg%2F1v9lcl9k!19sChIJdyjDZoe52YgRs2xlcUZjv5Y?authuser=0&hl=en&rclk=1
Lufran International Inc,4.2,15,"2250 NW 96th Ave #201, Doral, FL 33172",(305) 594-1070,lufran-intl.com,not_available,not_available,not_available,Customs broker,"QJVX+PF Doral, Florida",https://www.google.com/maps/place/Lufran+International+Inc/data=!4m7!3m6!1s0x88d9b053ab4d9a63:0xc3f5462b8d383062!8m2!3d25.794317!4d-80.351339!16s%2Fg%2F1tfqrr9m!19sChIJY5pNq1Ow2YgRYjA4jStG9cM?authuser=0&hl=en&rclk=1
