name,rating,reviews,address,phone,website,hours,email,social_media,category,plus_code,url
"Garkan Import Export, LLC.",4.6,5,"1565 NW 88th Ave, Doral, FL 33172",(305) 394-9944,not_available,not_available,not_available,not_available,Shipping company,"QMQ6+7G Doral, Florida","https://www.google.com/maps/place/Garkan+Import+Export,+LLC./data=!4m7!3m6!1s0x88d9b9149c47f3d9:0x1ef91fa0c2a90dac!8m2!3d25.7882172!4d-80.3387327!16s%2Fg%2F1pp2tzv76!19sChIJ2fNHnBS52YgRrA2pwqAf-R4?authuser=0&hl=en&rclk=1"
Troop International Logistic,4.2,213,"1903 NW 79th Ave, Doral, FL 33126",(786) 647-5936,troopinternational.com,not_available,not_available,not_available,Import export company,"QMRG+RH Doral, Florida",https://www.google.com/maps/place/Troop+International+Logistic/data=!4m7!3m6!1s0x88d9bfc065c833e7:0xe934b714b8772ece!8m2!3d25.7920976!4d-80.3236152!16s%2Fg%2F11h3g72l81!19sChIJ5zPIZcC_2YgRzi53uBS3NOk?authuser=0&hl=en&rclk=1
Pacific sky Import & Exports corp,5.0,26,"8217 NW 66th St, Miami, FL 33166",(786) 623-8661,not_available,not_available,not_available,not_available,Import export company,"RMM9+JP Miami, Florida",https://www.google.com/maps/place/Pacific+sky+Import+%26+Exports+corp/data=!4m7!3m6!1s0x88d9bb55ff15f4c5:0xfa9c8eb40c495730!8m2!3d25.834077!4d-80.330717!16s%2Fg%2F11jg62yw4j!19sChIJxfQV_1W72YgRMFdJDLSOnPo?authuser=0&hl=en&rclk=1
Kings Exports And Imports,5.0,not_available,"7855 NW 12th St #207, Miami, FL 33126",(786) 988-1860,kingsexportsimports.com,not_available,not_available,not_available,Corporate office,"QMJP+MQ Miami, Florida",https://www.google.com/maps/place/Kings+Exports+And+Imports/data=!4m7!3m6!1s0x88d907e324f993fb:0xeff1da99b8aa543c!8m2!3d25.7817418!4d-80.3130847!16s%2Fg%2F11jdk7kh59!19sChIJ-5P5JOMH2YgRPFSquJna8e8?authuser=0&hl=en&rclk=1
Lhs Worldwide,4.6,11,"2059 NW 79th Ave, Doral, FL 33122",(305) 592-9203,lhsww.com.ar,not_available,not_available,not_available,Import export company,"QMVG+7G Doral, Florida",https://www.google.com/maps/place/Lhs+Worldwide/data=!4m7!3m6!1s0x88d9b975b38ede73:0x1c73d105a031d6ad!8m2!3d25.7931736!4d-80.3236472!16s%2Fg%2F11fx6ncfrk!19sChIJc96Os3W52YgRrdYxoAXRcxw?authuser=0&hl=en&rclk=1
Florida European Export-Import,4.0,3,"1500 NW 96th Ave, Doral, FL 33172",(305) 477-0991,floridaeuropean.com,not_available,not_available,not_available,Corporate campus,"QJQX+7G Doral, Florida",https://www.google.com/maps/place/Florida+European+Export-Import/data=!4m7!3m6!1s0x88d9b938e29876d1:0x30c6040954e8e8cf!8m2!3d25.7882209!4d-80.3512121!16s%2Fg%2F1xfspjrd!19sChIJ0XaY4ji52YgRz-joVAkExjA?authuser=0&hl=en&rclk=1
"Mayabe Express Almacen Central, Doral FL",5.0,3,"3571 NW 82nd Ave, Doral, FL 33122",(786) 310-0625,mayabeexpress.com,not_available,not_available,not_available,Import export company,"RM4C+Q9 Doral, Florida","https://www.google.com/maps/place/Mayabe+Express+Almacen+Central,+Doral+FL/data=!4m7!3m6!1s0x88d9b9d8bf3bed8f:0x35c1080c9eb9f8e3!8m2!3d25.8069317!4d-80.3290739!16s%2Fg%2F11fk3w093b!19sChIJj-07v9i52YgR4_i5ngwIwTU?authuser=0&hl=en&rclk=1"
WM Import & Export,4.0,10,"6308 NW 97th Ave, Doral, FL 33178",(305) 726-8770,not_available,not_available,not_available,not_available,Import export company,"RJJW+84 Doral, Florida",https://www.google.com/maps/place/WM+Import+%26+Export/data=!4m7!3m6!1s0x88d9bbf3594f82f7:0xd817f36215dabd2e!8m2!3d25.8308657!4d-80.3546765!16s%2Fg%2F11hyqwc6ss!19sChIJ94JPWfO72YgRLr3aFWLzF9g?authuser=0&hl=en&rclk=1
"IMPORTS EXPORTS LOGISTICS, INC",3.9,22,"6820 NW 77th Ct, Miami, FL 33166",(800) 707-0194,import-export-logistics.com,not_available,not_available,not_available,Import export company,"RMPH+62 Miami, Florida","https://www.google.com/maps/place/IMPORTS+EXPORTS+LOGISTICS,+INC/data=!4m7!3m6!1s0x88d9ba4c5a5c01f3:0x8ad0fb611f40ace2!8m2!3d25.835598!4d-80.3223924!16s%2Fg%2F11g6qv_phg!19sChIJ8wFcWky62YgR4qxAH2H70Io?authuser=0&hl=en&rclk=1"
W.T IMPORT & EXPORT LLC,not_available,not_available,"4400 NW 79 AVE DORAL, APT 125, DORAL, 33166, Miami, FL 33166",(786) 678-7635,not_available,not_available,not_available,not_available,Import export company,"RM7F+RW Miami, Florida",https://www.google.com/maps/place/W.T+IMPORT+%26+EXPORT+LLC/data=!4m7!3m6!1s0x88d9bbd5c1821ee1:0xa4bbf1dc35372523!8m2!3d25.8145969!4d-80.3252393!16s%2Fg%2F11d_7njccw!19sChIJ4R6CwdW72YgRIyU3Ndzxu6Q?authuser=0&hl=en&rclk=1
