name,rating,reviews,address,phone,website,hours,email,social_media,category,plus_code,url
Doral Tours & Transportation,2.8,17,"7250 NW 11th St, Doral, FL 33126",(305) 406-2036,doraltransport.com,not_available,not_available,not_available,Transportation service,"QMJP+8G Doral, Florida",https://www.google.com/maps/place/Doral+Tours+%26+Transportation/data=!4m7!3m6!1s0x88d9b9a4f442553b:0x85c6ead3221a9cc3!8m2!3d25.7807679!4d-80.313646!16s%2Fg%2F1hc4p9c2w!19sChIJO1VC9KS52YgRw5waItPqxoU?authuser=0&hl=en&rclk=1
Lux VIP Transportation - Miami,5.0,18,"5501 NW 82nd Ave, Doral, FL 33166",(877) 737-1589,luxvipmiami.com,not_available,not_available,not_available,Limousine service,"RMFC+C6 Doral, Florida",https://www.google.com/maps/place/Lux+VIP+Transportation+-+Miami/data=!4m7!3m6!1s0x88d9bb7c1881ff85:0xd6a3b921bee9a039!8m2!3d25.8235394!4d-80.3294499!16s%2Fg%2F11v66452_s!19sChIJhf-BGHy72YgROaDpviG5o9Y?authuser=0&hl=en&rclk=1
Miami luxury services,5.0,45,"7950 NW 53rd St #337, Miami, FL 33166",(786) 575-7028,miamiluxuryservices.us,not_available,not_available,not_available,Transportation service,"RMCF+FC Miami, Florida",https://www.google.com/maps/place/Miami+luxury+services/data=!4m7!3m6!1s0x88d9bbff25b92b4b:0xb3e055f39735bc02!8m2!3d25.8212276!4d-80.3263975!16s%2Fg%2F11jz8400kp!19sChIJSyu5Jf-72YgRArw1l_NV4LM?authuser=0&hl=en&rclk=1
Miami Transportation Services,not_available,not_available,"10O46, NW 41st St, Doral, FL 33178",(305) 412-8008,not_available,not_available,not_available,not_available,Transportation service,"RJ6Q+CW Doral, Florida",https://www.google.com/maps/place/Miami+Transportation+Services/data=!4m7!3m6!1s0x88d9b9b0ef66bcf7:0x24e25f17acbe4c3d!8m2!3d25.8110662!4d-80.3601351!16s%2Fg%2F11gl43s42w!19sChIJ97xm77C52YgRPUy-rBdf4iQ?authuser=0&hl=en&rclk=1
Royal Transportation,4.1,210,"8880 NW 20th St N, Miami, FL 33172",(786) 403-4434,royal-transportation.com,not_available,not_available,not_available,Transportation service,"QMR5+QV Miami, Florida",https://www.google.com/maps/place/Royal+Transportation/data=!4m7!3m6!1s0x88d9c127a532c617:0x1d959f99267dd75a!8m2!3d25.7919844!4d-80.3403725!16s%2Fg%2F11jtbmp902!19sChIJF8YypSfB2YgRWtd9JpmflR0?authuser=0&hl=en&rclk=1
EastCoast Transportation Company,2.3,29,"2646 NW 97th Ave, Doral, FL 33172",(305) 887-2307,not_available,not_available,not_available,not_available,Handicapped transportation service,"QJXW+HM Doral, Florida",https://www.google.com/maps/place/EastCoast+Transportation+Company/data=!4m7!3m6!1s0x88d9b9891fbddaeb:0x492d35c4e323d089!8m2!3d25.7989651!4d-80.3533279!16s%2Fg%2F11gk8qwtvn!19sChIJ69q9H4m52YgRidAj48Q1LUk?authuser=0&hl=en&rclk=1
Limme Black Car Services,5.0,126,"8800 NW 36th St Unit 4346, Doral, FL 33178",(786) 451-3919,luxetransportations.com,not_available,not_available,not_available,Limousine service,"RM55+VQ Doral, Florida",https://www.google.com/maps/place/Limme+Black+Car+Services/data=!4m7!3m6!1s0x88d9b9718dc3770f:0x2f59d80629e06c45!8m2!3d25.8097033!4d-80.340545!16s%2Fg%2F11q4c5b64w!19sChIJD3fDjXG52YgRRWzgKQbYWS8?authuser=0&hl=en&rclk=1
Titan Transport Services LLC,5.0,3,"1692 NW 82nd Ave, Doral, FL 33126",(786) 260-0700,ttsmia.com,not_available,not_available,not_available,Logistics service,"QMQ9+RJ Doral, Florida",https://www.google.com/maps/place/Titan+Transport+Services+LLC/data=!4m7!3m6!1s0x88d9b974718a3489:0x9414b13f40224bed!8m2!3d25.7895806!4d-80.3308949!16s%2Fg%2F1tdhftbm!19sChIJiTSKcXS52YgR7UsiQD-xFJQ?authuser=0&hl=en&rclk=1
Maxpedited Services LLC,5.0,7,"3785 NW 82nd Ave Suite 209, Doral, FL 33166",(305) 540-4428,not_available,not_available,not_available,not_available,Transportation service,"RM5C+9F Doral, Florida",https://www.google.com/maps/place/Maxpedited+Services+LLC/data=!4m7!3m6!1s0x88d9b99a4f16b60f:0xc7043fd01b8a617c!8m2!3d25.8084186!4d-80.3288395!16s%2Fg%2F11wwzcmjtw!19sChIJD7YWT5q52YgRfGGKG9A_BMc?authuser=0&hl=en&rclk=1
Many Van Line,3.3,12,"9725 NW 52nd St, Doral, FL 33178",(305) 559-5829,manyvanline.com,not_available,not_available,not_available,Transportation service,"RJCW+M8 Doral, Florida",https://www.google.com/maps/place/Many+Van+Line/data=!4m7!3m6!1s0x88d9bbe4b3a988d1:0xeffce13a8705e2c9!8m2!3d25.8217413!4d-80.3542482!16s%2Fg%2F1hm2db2qp!19sChIJ0Yips-S72YgRyeIFhzrh_O8?authuser=0&hl=en&rclk=1
