name,rating,reviews,address,phone,website,hours,email,social_media,category,plus_code,url
Warehouse Doral,5.0,2,"8068 NW 66th St, Miami, FL 33166",not_available,not_available,not_available,not_available,not_available,Store,"RMMC+8J Miami, Florida",https://www.google.com/maps/place/Warehouse+Doral/data=!4m7!3m6!1s0x88d9bbc976011b75:0xb578f8823eba5a90!8m2!3d25.8333037!4d-80.3284825!16s%2Fg%2F11clv6wzdk!19sChIJdRsBdsm72YgRkFq6PoL4eLU?authuser=0&hl=en&rclk=1
Warehouse,5.0,3,"6451 NW 102nd Ave, Doral, FL 33178",not_available,not_available,not_available,not_available,not_available,Warehouse,"RJJR+QM Doral, Florida",https://www.google.com/maps/place/Warehouse/data=!4m7!3m6!1s0x88d9bbf9f2f2edef:0xefbb726856ca1edc!8m2!3d25.8319175!4d-80.3582703!16s%2Fg%2F11r_tyft95!19sChIJ7-3y8vm72YgR3B7KVmhyu-8?authuser=0&hl=en&rclk=1
Warehouses For Sale In Miami,4.9,17,"8200 NW 27th St #107, Doral, FL 33122",(305) 930-3873,warehousesforsaleinmiami.com,not_available,not_available,not_available,Commercial real estate agency,"QMXC+35 Doral, Florida",https://www.google.com/maps/place/Warehouses+For+Sale+In+Miami/data=!4m7!3m6!1s0x88d9bfdd8fe9a2c3:0xa1e41bdfcc7b6d38!8m2!3d25.7976706!4d-80.3295159!16s%2Fg%2F11qnsdy3p3!19sChIJw6Lpj92_2YgROG17zN8b5KE?authuser=0&hl=en&rclk=1
Premier Warehouse Logistics,5.0,7,"3600 NW 114 Ave Doral, Miami, FL 33178",(305) 877-5964,mypremierwarehouse.com,not_available,not_available,not_available,Warehouse,"RJ49+Q2 Miami, Florida",https://www.google.com/maps/place/Premier+Warehouse+Logistics/data=!4m7!3m6!1s0x88d9bf29c6bbb123:0x29045021e26eb9a5!8m2!3d25.8069047!4d-80.3823901!16s%2Fg%2F11rctyrgfy!19sChIJI7G7xim_2YgRpblu4iFQBCk?authuser=0&hl=en&rclk=1
Crate & Barrel Warehouse,4.4,14,"9708 NW 17th St, Doral, FL 33172",(786) 589-5199,crateandbarrel.com,not_available,not_available,not_available,Warehouse,"QJQW+PJ Doral, Florida",https://www.google.com/maps/place/Crate+%26+Barrel+Warehouse/data=!4m7!3m6!1s0x88d9b9220f489a07:0x6c2c29d24b72d2bc!8m2!3d25.7893198!4d-80.353438!16s%2Fg%2F11sf9tss0q!19sChIJB5pIDyK52YgRvNJyS9IpLGw?authuser=0&hl=en&rclk=1
ReadySpaces,4.3,68,"2900 NW 112th Ave, Doral, FL 33172",(786) 838-0644,readyspaces.com,not_available,not_available,not_available,Warehouse,"RJ2C+FP Doral, Florida",https://www.google.com/maps/place/ReadySpaces/data=!4m7!3m6!1s0x88d9beba60930845:0x30b643d655130c8f!8m2!3d25.8011375!4d-80.3782177!16s%2Fg%2F11g8ty43w3!19sChIJRQiTYLq-2YgRjwwTVdZDtjA?authuser=0&hl=en&rclk=1
Frito-Lay Distribution Center Miami/ Doral,not_available,not_available,"3400 NW 107th Ave, Doral, FL 33172",(786) 256-8756,not_available,not_available,not_available,not_available,Warehouse,"RJ4J+63 Doral, Florida",https://www.google.com/maps/place/Frito-Lay+Distribution+Center+Miami%2F+Doral/data=!4m7!3m6!1s0x88d9bf00487da153:0x3d13ba82654f252c!8m2!3d25.8055671!4d-80.3697562!16s%2Fg%2F11x_6p8s9n!19sChIJU6F9SAC_2YgRLCVPZYK6Ez0?authuser=0&hl=en&rclk=1
TJ Maxx Distribution Center,4.1,29,"9910 NW 21st St, Doral, FL 33172",not_available,not_available,not_available,not_available,not_available,Warehouse store,"QJRV+X9 Doral, Florida",https://www.google.com/maps/place/TJ+Maxx+Distribution+Center/data=!4m7!3m6!1s0x88d9b9483bc27aef:0x453143c18d627469!8m2!3d25.7924969!4d-80.356561!16s%2Fg%2F11c2jb6qgt!19sChIJ73rCO0i52YgRaXRijcFDMUU?authuser=0&hl=en&rclk=1
Rana Furniture Distribution Center Not a Showroom,4.7,912,"10005 NW 21st St, Doral, FL 33172",(305) 471-4706,ranafurniture.com,Closed ⋅ Opens 8 AM Thu,customerservice@ranafurniture.com,not_available,Furniture store,"QJVR+G9 Doral, Florida",https://www.google.com/maps/place/Rana+Furniture+Distribution+Center+Not+a+Showroom/data=!4m7!3m6!1s0x88d9bbca5c7d485f:0x4ee074be783163f7!8m2!3d25.793873!4d-80.3590276!16s%2Fg%2F1tqnmfmw!19sChIJX0h9XMq72YgR92MxeL504E4?authuser=0&hl=en&rclk=1
Bodegas,5.0,not_available,"9800 NW 17th St, Doral, FL 33172",not_available,not_available,not_available,not_available,not_available,Warehouse,"QJQV+QR Doral, Florida",https://www.google.com/maps/place/Bodegas/data=!4m7!3m6!1s0x88d9b9206160815b:0x88ac663b74b65f03!8m2!3d25.789393!4d-80.355413!16s%2Fg%2F11rqqhq1fw!19sChIJW4FgYSC52YgRA1-2dDtmrIg?authuser=0&hl=en&rclk=1
