name,rating,reviews,address,phone,website,hours,email,social_media,category,plus_code,url
24/7 Customs,4.9,33,"5600 NW 36th St #266b, Miami, FL 33166",(786) 477-7600,247customs.com,not_available,not_available,not_available,Customs broker,"RP47+M5 Miami, Florida",https://www.google.com/maps/place/24%2F7+Customs/data=!4m7!3m6!1s0x88d9b9f9cfcd2183:0x53b7fb1463888d9a!8m2!3d25.806731!4d-80.287017!16s%2Fg%2F11bccm70f_!19sChIJgyHNz_m52YgRmo2IYxT7t1M?authuser=0&hl=en&rclk=1
Doral Customs Brokers,5.0,38,"8805 NW 35th Ln, Doral, FL 33172",(786) 224-0500,doralcustomsbrokers.com,not_available,not_available,not_available,Customs broker,"RM56+58 Doral, Florida",https://www.google.com/maps/place/Doral+Customs+Brokers/data=!4m7!3m6!1s0x88d9b966b4e5a7e9:0x878baed6fc9a65d1!8m2!3d25.8078898!4d-80.3391653!16s%2Fg%2F11bvt8g624!19sChIJ6afltGa52YgR0WWa_Naui4c?authuser=0&hl=en&rclk=1
C and R Customs Brokers Inc.,4.8,82,"2375 NW 70th Ave Unit B-10, Miami, FL 33122",(305) 885-5244,crcustomsbrokers.com,not_available,not_available,not_available,Customs broker,"QMWR+64 Miami, Florida",https://www.google.com/maps/place/C+and+R+Customs+Brokers+Inc./data=!4m7!3m6!1s0x88d9ba521634f6a1:0x702d13a4062b36b3!8m2!3d25.7956117!4d-80.3097232!16s%2Fg%2F11bbrmnl4d!19sChIJofY0FlK62YgRszYrBqQTLXA?authuser=0&hl=en&rclk=1
Customs Brokers Outsourcing Corp.,5.0,not_available,"10426 NW 31st St, Doral, FL 33172",(786) 464-0407,cboutsourcing.us,not_available,not_available,not_available,Customs broker,"RJ3R+6Q Doral, Florida",https://www.google.com/maps/place/Customs+Brokers+Outsourcing+Corp./data=!4m7!3m6!1s0x88d9b9d59d14c421:0xe2cf95748e6f12a3!8m2!3d25.8030776!4d-80.3580329!16s%2Fg%2F11frr3vks4!19sChIJIcQUndW52YgRoxJvjnSVz-I?authuser=0&hl=en&rclk=1
"Florida Imports Customhouse Brokers, Inc.",5.0,22,"3105 NW 107th Ave Ste 400, Doral, FL 33172",(305) 437-8223,flimports.com,not_available,not_available,not_available,Customs broker,"RJ3J+5V Doral, Florida","https://www.google.com/maps/place/Florida+Imports+Customhouse+Brokers,+Inc./data=!4m7!3m6!1s0x88d9b99ba85a10ed:0xaddff4a4d7780fde!8m2!3d25.8029951!4d-80.3678353!16s%2Fg%2F1thqhkk8!19sChIJ7RBaqJu52YgR3g9416T0360?authuser=0&hl=en&rclk=1"
A Customs Brokerage,4.2,10,"8400 NW 36th St Suite 100, Doral, FL 33166",(305) 805-6797,acb-us.com,not_available,not_available,not_available,Customs broker,"RM58+MR Doral, Florida",https://www.google.com/maps/place/A+Customs+Brokerage/data=!4m7!3m6!1s0x88d9bbdaeb0cc46f:0x80b96c87b841f8c0!8m2!3d25.8091906!4d-80.3328895!16s%2Fg%2F1vzn6c84!19sChIJb8QM69q72YgRwPhBuIdsuYA?authuser=0&hl=en&rclk=1
Customs Broker Miami,4.3,24,"2550 NW 72nd Ave #110, Miami, FL 33122",(786) 223-5983,customs-broker-miami.com,not_available,not_available,not_available,Customs broker,"QMXP+7M Miami, Florida",https://www.google.com/maps/place/Customs+Broker+Miami/data=!4m7!3m6!1s0x88d9b7702e4e7229:0x387c992fddf84f8b!8m2!3d25.7982379!4d-80.3133484!16s%2Fg%2F1hc1ylzdz!19sChIJKXJOLnC32YgRi0_43S-ZfDg?authuser=0&hl=en&rclk=1
Guy Lichtenstein CHB,4.4,7,"2550 NW 72nd Ave, Miami, FL 33122",(305) 593-5022,not_available,not_available,not_available,not_available,Customs broker,"QMXP+7M Miami, Florida",https://www.google.com/maps/place/Guy+Lichtenstein+CHB/data=!4m7!3m6!1s0x88d9b99b1bb31ef3:0x2118478de44d012e!8m2!3d25.7982379!4d-80.3133484!16s%2Fg%2F1th2963k!19sChIJ8x6zG5u52YgRLgFN5I1HGCE?authuser=0&hl=en&rclk=1
LMB Customs Brokers,5.0,11,"2000 NW 97th Ave STE 114, Miami, FL 33172",(305) 715-7023,lmbcustomsbrokers.com,not_available,not_available,not_available,Customs broker,"QJVW+5F Miami, Florida",https://www.google.com/maps/place/LMB+Customs+Brokers/data=!4m7!3m6!1s0x88d9b9a87de64cb9:0xda4c113bbc8ad4cb!8m2!3d25.7929158!4d-80.3538526!16s%2Fg%2F11hy9tp0bg!19sChIJuUzmfai52YgRy9SKvDsRTNo?authuser=0&hl=en&rclk=1
Emmanuel Customs Brokers,5.0,not_available,"8200 NW 41st St, Doral, FL 33166",(305) 224-8094,emmanuelcb.com,not_available,not_available,not_available,Customs broker,"RM69+6R Doral, Florida",https://www.google.com/maps/place/Emmanuel+Customs+Brokers/data=!4m7!3m6!1s0x88d9b97d10bfffff:0xf71314bd3f29f93a!8m2!3d25.8105127!4d-80.3304572!16s%2Fg%2F11g0k16m8c!19sChIJ__-_EH252YgROvkpP70UE_c?authuser=0&hl=en&rclk=1
Priority Customs Broker,4.6,11,"3650 NW 82nd Ave Suite 407, Doral, FL 33166",(305) 591-1440,prioritycb.com,not_available,not_available,not_available,Customs broker,"RM59+9X Doral, Florida",https://www.google.com/maps/place/Priority+Customs+Broker/data=!4m7!3m6!1s0x88d9b99ba85a7cf3:0x287845137c51a39c!8m2!3d25.8084578!4d-80.330033!16s%2Fg%2F11b75fmbwx!19sChIJ83xaqJu52YgRnKNRfBNFeCg?authuser=0&hl=en&rclk=1
Advance Customs Brokers International,5.0,not_available,"1400 NW 79th Ave, Miami, FL 33126",(786) 476-0700,advancecustomsbrokers.com,not_available,not_available,not_available,Customs broker,"QMPG+J6 Miami, Florida",https://www.google.com/maps/place/Advance+Customs+Brokers+International/data=!4m7!3m6!1s0x88d9b90b012676ab:0xd07538a318c515a0!8m2!3d25.7865915!4d-80.3243938!16s%2Fg%2F11bzs2yhmq!19sChIJq3YmAQu52YgRoBXFGKM4ddA?authuser=0&hl=en&rclk=1
L R Brokers,5.0,not_available,"3555 NW 77th Ave, Doral, FL 33122",(305) 594-4030,lrbrokers.com,not_available,not_available,not_available,Customs broker,"RM3H+VX Doral, Florida",https://www.google.com/maps/place/L+R+Brokers/data=!4m7!3m6!1s0x88d9b982143a659f:0x6d8ad7711f9897d6!8m2!3d25.8046572!4d-80.3200671!16s%2Fg%2F1thn69nn!19sChIJn2U6FIK52YgR1peYH3HXim0?authuser=0&hl=en&rclk=1
