name,rating,reviews,address,phone,website,hours,email,social_media,category,plus_code,url
TJ Maxx Distribution Center,4.1,29,"9910 NW 21st St, Doral, FL 33172",not_available,not_available,not_available,not_available,not_available,Warehouse store,"QJRV+X9 Doral, Florida",https://www.google.com/maps/place/TJ+Maxx+Distribution+Center/data=!4m7!3m6!1s0x88d9b9483bc27aef:0x453143c18d627469!8m2!3d25.7924969!4d-80.356561!16s%2Fg%2F11c2jb6qgt!19sChIJ73rCO0i52YgRaXRijcFDMUU?authuser=0&hl=en&rclk=1
Frito-Lay Distribution Center Miami/ Doral,not_available,not_available,"3400 NW 107th Ave, Doral, FL 33172",(786) 256-8756,not_available,not_available,not_available,not_available,Warehouse,"RJ4J+63 Doral, Florida",https://www.google.com/maps/place/Frito-Lay+Distribution+Center+Miami%2F+Doral/data=!4m7!3m6!1s0x88d9bf00487da153:0x3d13ba82654f252c!8m2!3d25.8055671!4d-80.3697562!16s%2Fg%2F11x_6p8s9n!19sChIJU6F9SAC_2YgRLCVPZYK6Ez0?authuser=0&hl=en&rclk=1
UPS Distribution Center Doral,3.9,51,"13350 NW 17th St, Miami, FL 33182",(800) 742-5877,ups.com,not_available,not_available,not_available,Shipping and mailing service,"QHQP+5R Miami, Florida",https://www.google.com/maps/place/UPS+Distribution+Center+Doral/data=!4m7!3m6!1s0x88d9bfa3c9572847:0x40c7306cbe49acd9!8m2!3d25.7879769!4d-80.4129724!16s%2Fg%2F11fd44ffsn!19sChIJRyhXyaO_2YgR2axJvmwwx0A?authuser=0&hl=en&rclk=1
Amazon Warehouse DMI3,4.2,365,"3200 NW 67th Ave, Miami, FL 33122",not_available,not_available,not_available,not_available,not_available,Warehouse,"RM2V+XR Miami, Florida",https://www.google.com/maps/place/Amazon+Warehouse+DMI3/data=!4m7!3m6!1s0x88d9b989c71bf383:0x367d21dc88defaf4!8m2!3d25.8024846!4d-80.3053919!16s%2Fg%2F11df0mhg81!19sChIJg_Mbx4m52YgR9PreiNwhfTY?authuser=0&hl=en&rclk=1
Baptist Health Miami Warehouse,3.6,7,"3530280180120, 9001 NW 33rd St, Doral, FL 33178",not_available,not_available,not_available,not_available,not_available,Corporate office,"RM44+3M Doral, Florida",https://www.google.com/maps/place/Baptist+Health+Miami+Warehouse/data=!4m7!3m6!1s0x88d9b9bab852455b:0x979172a37405f366!8m2!3d25.8052444!4d-80.3433685!16s%2Fg%2F11ghlw3dqn!19sChIJW0VSuLq52YgRZvMFdKNykZc?authuser=0&hl=en&rclk=1
Fulfillment Hub USA,4.9,124,"3450 NW 115th Ave, Miami, FL 33178",(786) 622-1102,fulfillmenthubusa.com,not_available,info@fulfillmenthubusa.com,not_available,Logistics service,"RJ48+74 Miami, Florida",https://www.google.com/maps/place/Fulfillment+Hub+USA/data=!4m7!3m6!1s0x88d9bfdfcbc8ed15:0xa21a790fadfde221!8m2!3d25.8056893!4d-80.3847412!16s%2Fg%2F11j2c560yl!19sChIJFe3Iy9-_2YgRIeL9rQ95GqI?authuser=0&hl=en&rclk=1
Rana Furniture Distribution Center Not a Showroom,4.7,912,"10005 NW 21st St, Doral, FL 33172",(305) 471-4706,ranafurniture.com,Closed ⋅ Opens 8 AM Thu,customerservice@ranafurniture.com,not_available,Furniture store,"QJVR+G9 Doral, Florida",https://www.google.com/maps/place/Rana+Furniture+Distribution+Center+Not+a+Showroom/data=!4m7!3m6!1s0x88d9bbca5c7d485f:0x4ee074be783163f7!8m2!3d25.793873!4d-80.3590276!16s%2Fg%2F1tqnmfmw!19sChIJX0h9XMq72YgR92MxeL504E4?authuser=0&hl=en&rclk=1
South Florida Logistics center,4.4,57,"Doral, FL 33122",not_available,not_available,not_available,not_available,not_available,Business center,"RM4V+45 Doral, Florida",https://www.google.com/maps/place/South+Florida+Logistics+center/data=!4m7!3m6!1s0x88d9b98ecfc7f99f:0x1c614377e735211d!8m2!3d25.8052583!4d-80.3070965!16s%2Fg%2F11h_15160v!19sChIJn_nHz4652YgRHSE153dDYRw?authuser=0&hl=en&rclk=1
WAREHOUSE/DISTRIBUTION CENTER - Florida Baby Food Center Inc,4.3,6,"8425 NW 29th St, Doral, FL 33122",(305) 554-5663,floridababyfood.com,not_available,not_available,not_available,Wholesale grocer,"RM28+CG Doral, Florida",https://www.google.com/maps/place/WAREHOUSE%2FDISTRIBUTION+CENTER+-+Florida+Baby+Food+Center+Inc/data=!4m7!3m6!1s0x88d9b96fed2fdd5f:0x44dae75b7b300071!8m2!3d25.8010728!4d-80.3337037!16s%2Fg%2F1tdyl_zr!19sChIJX90v7W-52YgRcQAwe1vn2kQ?authuser=0&hl=en&rclk=1
ProShip3PL / 3PL Warehouse & FBA/FBM Fulfillment Center,5.0,11,"8975 NW 26th St, Doral, Miami, FL 33172",(786) 571-0217,proship3pl.com,not_available,not_available,not_available,Distribution service,"QMX5+3J Miami, Florida",https://www.google.com/maps/place/ProShip3PL+%2F+3PL+Warehouse+%26+FBA%2FFBM+Fulfillment+Center/data=!4m7!3m6!1s0x88d9b96d363a5b25:0x5d61810675f9b63e!8m2!3d25.797667!4d-80.34097!16s%2Fg%2F11rd8g478w!19sChIJJVs6Nm252YgRPrb5dQaBYV0?authuser=0&hl=en&rclk=1
The Home Depot Distribution Center,5.0,not_available,"12950 NW South River Dr, Medley, FL 33178",(305) 863-4178,careers.homedepot.com,not_available,not_available,not_available,Warehouse,"VJRF+QG Medley, Florida",https://www.google.com/maps/place/The+Home+Depot+Distribution+Center/data=!4m7!3m6!1s0x88d9bd67fe62299b:0x54c388916653b547!8m2!3d25.8919378!4d-80.3762269!16s%2Fg%2F11rg8f_tp8!19sChIJmyli_me92YgRR7VTZpGIw1Q?authuser=0&hl=en&rclk=1
Premier Warehouse Logistics,5.0,7,"3600 NW 114 Ave Doral, Miami, FL 33178",(305) 877-5964,mypremierwarehouse.com,not_available,not_available,not_available,Warehouse,"RJ49+Q2 Miami, Florida",https://www.google.com/maps/place/Premier+Warehouse+Logistics/data=!4m7!3m6!1s0x88d9bf29c6bbb123:0x29045021e26eb9a5!8m2!3d25.8069047!4d-80.3823901!16s%2Fg%2F11rctyrgfy!19sChIJI7G7xim_2YgRpblu4iFQBCk?authuser=0&hl=en&rclk=1
Double G Distribution,5.0,not_available,"2355 NW 70th Ave unit d 06, Miami, FL 33122",(305) 305-3053,not_available,not_available,not_available,not_available,Distribution service,"QMVR+V5 Miami, Florida",https://www.google.com/maps/place/Double+G+Distribution/data=!4m7!3m6!1s0x88d9b9f1e1cbca33:0x34c6ddbd667b01b9!8m2!3d25.7947182!4d-80.3095101!16s%2Fg%2F11fmrqph8m!19sChIJM8rL4fG52YgRuQF7Zr3dxjQ?authuser=0&hl=en&rclk=1
Distribution Center Miami No Boundaries Sport,5.0,13,"8347 NW 36th St E, Doral, FL 33166",(305) 456-5534,noboundariessport.com,not_available,not_available,not_available,Sports accessories wholesaler,"RM69+37 Doral, Florida",https://www.google.com/maps/place/Distribution+Center+Miami+No+Boundaries+Sport/data=!4m7!3m6!1s0x88d9b9ba08c06d6f:0x429ce6fc84f52f7d!8m2!3d25.810135!4d-80.331807!16s%2Fg%2F11tfbbwmtx!19sChIJb23ACLq52YgRfS_1hPzmnEI?authuser=0&hl=en&rclk=1
