name,rating,reviews,address,phone,website,hours,email,social_media,category,plus_code,url
QuickLoad Inc.,4.8,172,"2792 NW 24th St Yard, Miami, FL 33142",(305) 827-0001,quickload.com,not_available,not_available,not_available,Transportation service,"QQX5+98 Miami, Florida",https://www.google.com/maps/place/QuickLoad+Inc./data=!4m7!3m6!1s0x88d9b72e4b2f338f:0x12efb37417716afd!8m2!3d25.7984532!4d-80.2416953!16s%2Fg%2F11c6zwdsmv!19sChIJjzMvSy632YgR_WpxF3Sz7xI?authuser=0&hl=en&rclk=1
Servitrans Cargo Doral,3.7,6,"1736 NW 82nd Ave, Doral, FL 33126",(786) 334-6828,servitranscargo.com,not_available,not_available,not_available,Trucking company,"QMR9+4W Doral, Florida",https://www.google.com/maps/place/Servitrans+Cargo+Doral/data=!4m7!3m6!1s0x88d9b94175fc481d:0xe46733d9aea68332!8m2!3d25.7903337!4d-80.3301267!16s%2Fg%2F11y7v00p27!19sChIJHUj8dUG52YgRMoOmrtkzZ-Q?authuser=0&hl=en&rclk=1
Doral Freight Logistics Inc,4.9,7,"11450 NW 34th St Suite 100, Doral, FL 33178",(305) 477-1022,doralfreight.com,not_available,not_available,not_available,Freight forwarding service,"RJ38+QP Doral, Florida",https://www.google.com/maps/place/Doral+Freight+Logistics+Inc/data=!4m7!3m6!1s0x88d9bbb9bfa0402d:0x2bdfe993687b97d8!8m2!3d25.8044871!4d-80.3831756!16s%2Fg%2F11bxg0lz3k!19sChIJLUCgv7m72YgR2Jd7aJPp3ys?authuser=0&hl=en&rclk=1
"Ritehaul Logistics, LLC.",3.7,3,"6355 NW 36th St #508, Virginia Gardens, FL 33166",(800) 927-5819,ritehaul.com,not_available,not_available,not_available,Trucking company,"RM5X+3P Virginia Gardens, Florida","https://www.google.com/maps/place/Ritehaul+Logistics,+LLC./data=!4m7!3m6!1s0xf80ffd51e653c3f:0x8a40cf0f0219e84f!8m2!3d25.8076286!4d-80.3006528!16s%2Fg%2F11sfrb0g2j!19sChIJPzxlHtX_gA8RT-gZAg_PQIo?authuser=0&hl=en&rclk=1"
Pro Transport Miami,4.5,37,"10800 NW South River Dr, Miami, FL 33178",(305) 884-4186,protransportusa.com,not_available,shayna@protransportusa.com,not_available,Trucking company,"VMC3+H2 Miami, Florida",https://www.google.com/maps/place/Pro+Transport+Miami/data=!4m7!3m6!1s0x88d9bb718a810483:0xf534cc88c487bcd1!8m2!3d25.8714049!4d-80.3474146!16s%2Fg%2F1vnnk65t!19sChIJgwSBinG72YgR0byHxIjMNPU?authuser=0&hl=en&rclk=1
Quality Container Transport,4.5,57,"7555 NW 82nd Pl, Miami, FL 33166",(305) 406-2206,qualityct.com,not_available,not_available,not_available,Transportation service,"RMV9+4F Miami, Florida",https://www.google.com/maps/place/Quality+Container+Transport/data=!4m7!3m6!1s0x88d9ba2a19dcf7a9:0x8a70182297beff3b!8m2!3d25.842858!4d-80.3313339!16s%2Fg%2F1tf7hgpj!19sChIJqffcGSq62YgRO_--lyIYcIo?authuser=0&hl=en&rclk=1
Atlantic Good Services Inc,4.9,10,"3005 NW 24th St, Miami, FL 33142",(305) 634-9991,safer.fmcsa.dot.gov,not_available,not_available,not_available,Trucking company,"QQX4+J9 Miami, Florida",https://www.google.com/maps/place/Atlantic+Good+Services+Inc/data=!4m7!3m6!1s0x88d9b731cda282d7:0x260a399519640f44!8m2!3d25.7990475!4d-80.2441009!16s%2Fg%2F1tjmfg31!19sChIJ14KizTG32YgRRA9kGZU5CiY?authuser=0&hl=en&rclk=1
STG Logistics,2.8,11,"8566 NW 23rd St, Doral, FL 33122",(305) 884-6900,stgusa.com,not_available,not_available,not_available,Container terminal,"QMV8+V6 Doral, Florida",https://www.google.com/maps/place/STG+Logistics/data=!4m7!3m6!1s0x88d9bc82694b6033:0x4a5b242294147394!8m2!3d25.7947056!4d-80.3344439!16s%2Fg%2F1tfmp5qb!19sChIJM2BLaYK82YgRlHMUlCIkW0o?authuser=0&hl=en&rclk=1
Countywide Of Miami Inc.,4.1,14,"8501 NW 80th St, Medley, FL 33166",(305) 685-6281,countywidemia.com,not_available,not_available,not_available,Transportation service,"RMW7+WX Medley, Florida",https://www.google.com/maps/place/Countywide+Of+Miami+Inc./data=!4m7!3m6!1s0x88d9bc864d9976c5:0x1465f206ea6a5aa2!8m2!3d25.8473124!4d-80.3350623!16s%2Fg%2F11b5q_hy5z!19sChIJxXaZTYa82YgRolpq6gbyZRQ?authuser=0&hl=en&rclk=1
Nighthawk Enterprises Inc,4.2,36,"9701 NW 89th Ave, Medley, FL 33178",(305) 637-3005,not_available,not_available,not_available,not_available,Trucking company,"VM65+M4 Medley, Florida",https://www.google.com/maps/place/Nighthawk+Enterprises+Inc/data=!4m7!3m6!1s0x88d9b0ef88c7784f:0xaece08a5eeeb30cc!8m2!3d25.861682!4d-80.3422421!16s%2Fg%2F1tlbkcf9!19sChIJT3jHiO-w2YgRzDDr7qUIzq4?authuser=0&hl=en&rclk=1
Forward Air Inc (MIA),3.6,174,"3405 NW 72nd Ave, Miami, FL 33122",(305) 599-3161,forwardair.com,not_available,not_available,not_available,Trucking company,"RM4Q+MV Miami, Florida",https://www.google.com/maps/place/Forward+Air+Inc+%28MIA%29/data=!4m7!3m6!1s0x88d9b985fff821f7:0x931bdb3e31d63eec!8m2!3d25.8066752!4d-80.3102695!16s%2Fg%2F1tj33ykv!19sChIJ9yH4_4W52YgR7D7WMT7bG5M?authuser=0&hl=en&rclk=1
Ontrak Transport,4.0,4,"7270 NW 12th St #381, Miami, FL 33126",(305) 239-9235,ontrak-transport.com,not_available,not_available,not_available,Trucking company,"QMJP+F7 Miami, Florida",https://www.google.com/maps/place/Ontrak+Transport/data=!4m7!3m6!1s0x88d9b9d2794eba49:0x1fa0cb76e02fa165!8m2!3d25.7812257!4d-80.314265!16s%2Fg%2F11v68krr4k!19sChIJSbpOedK52YgRZaEv4HbLoB8?authuser=0&hl=en&rclk=1
