name,rating,reviews,address,phone,website,hours,email,social_media,category,plus_code,url
Fulfillment Hub USA,4.9,124,"3450 NW 115th Ave, Miami, FL 33178",(786) 622-1102,fulfillmenthubusa.com,not_available,info@fulfillmenthubusa.com,not_available,Logistics service,"RJ48+74 Miami, Florida",https://www.google.com/maps/place/Fulfillment+Hub+USA/data=!4m7!3m6!1s0x88d9bfdfcbc8ed15:0xa21a790fadfde221!8m2!3d25.8056893!4d-80.3847412!16s%2Fg%2F11j2c560yl!19sChIJFe3Iy9-_2YgRIeL9rQ95GqI?authuser=0&hl=en&rclk=1
ProShip3PL / 3PL Warehouse & FBA/FBM Fulfillment Center,5.0,11,"8975 NW 26th St, Doral, Miami, FL 33172",(786) 571-0217,proship3pl.com,not_available,not_available,not_available,Distribution service,"QMX5+3J Miami, Florida",https://www.google.com/maps/place/ProShip3PL+%2F+3PL+Warehouse+%26+FBA%2FFBM+Fulfillment+Center/data=!4m7!3m6!1s0x88d9b96d363a5b25:0x5d61810675f9b63e!8m2!3d25.797667!4d-80.34097!16s%2Fg%2F11rd8g478w!19sChIJJVs6Nm252YgRPrb5dQaBYV0?authuser=0&hl=en&rclk=1
Amazon Warehouse DMI3,4.2,365,"3200 NW 67th Ave, Miami, FL 33122",not_available,not_available,not_available,not_available,not_available,Warehouse,"RM2V+XR Miami, Florida",https://www.google.com/maps/place/Amazon+Warehouse+DMI3/data=!4m7!3m6!1s0x88d9b989c71bf383:0x367d21dc88defaf4!8m2!3d25.8024846!4d-80.3053919!16s%2Fg%2F11df0mhg81!19sChIJg_Mbx4m52YgR9PreiNwhfTY?authuser=0&hl=en&rclk=1
Frito-Lay Distribution Center Miami/ Doral,not_available,not_available,"3400 NW 107th Ave, Doral, FL 33172",(786) 256-8756,not_available,not_available,not_available,not_available,Warehouse,"RJ4J+63 Doral, Florida",https://www.google.com/maps/place/Frito-Lay+Distribution+Center+Miami%2F+Doral/data=!4m7!3m6!1s0x88d9bf00487da153:0x3d13ba82654f252c!8m2!3d25.8055671!4d-80.3697562!16s%2Fg%2F11x_6p8s9n!19sChIJU6F9SAC_2YgRLCVPZYK6Ez0?authuser=0&hl=en&rclk=1
TJ Maxx Distribution Center,4.1,29,"9910 NW 21st St, Doral, FL 33172",not_available,not_available,not_available,not_available,not_available,Warehouse store,"QJRV+X9 Doral, Florida",https://www.google.com/maps/place/TJ+Maxx+Distribution+Center/data=!4m7!3m6!1s0x88d9b9483bc27aef:0x453143c18d627469!8m2!3d25.7924969!4d-80.356561!16s%2Fg%2F11c2jb6qgt!19sChIJ73rCO0i52YgRaXRijcFDMUU?authuser=0&hl=en&rclk=1
Amazon DMI6,4.0,102,"6703 NW 7th St, Miami, FL 33126",not_available,search.amazondelivers.jobs,not_available,not_available,not_available,Warehouse,"QMHV+FH Miami, Florida",https://www.google.com/maps/place/Amazon+DMI6/data=!4m7!3m6!1s0x88d9b928dff6bc25:0xa7a0777862ba80ef!8m2!3d25.7786502!4d-80.3060127!16s%2Fg%2F11j00p5p11!19sChIJJbz23yi52YgR74C6Ynh3oKc?authuser=0&hl=en&rclk=1
Ameriworld Fulfillment,4.5,27,"3325 NW 70th Ave, Miami, FL 33122",(305) 777-0548,ameriworld.com,not_available,not_available,not_available,Distribution service,"RM3Q+HR Miami, Florida",https://www.google.com/maps/place/Ameriworld+Fulfillment/data=!4m7!3m6!1s0x88d9b0108618eaf1:0x5034ed19f83f386b!8m2!3d25.8039145!4d-80.3104411!16s%2Fg%2F1hhh6fpg_!19sChIJ8eoYhhCw2YgRazg_-BntNFA?authuser=0&hl=en&rclk=1
UPS Distribution Center Doral,3.9,51,"13350 NW 17th St, Miami, FL 33182",(800) 742-5877,ups.com,not_available,not_available,not_available,Shipping and mailing service,"QHQP+5R Miami, Florida",https://www.google.com/maps/place/UPS+Distribution+Center+Doral/data=!4m7!3m6!1s0x88d9bfa3c9572847:0x40c7306cbe49acd9!8m2!3d25.7879769!4d-80.4129724!16s%2Fg%2F11fd44ffsn!19sChIJRyhXyaO_2YgR2axJvmwwx0A?authuser=0&hl=en&rclk=1
Rana Furniture Distribution Center Not a Showroom,4.7,912,"10005 NW 21st St, Doral, FL 33172",(305) 471-4706,ranafurniture.com,Closed ⋅ Opens 8 AM Thu,customerservice@ranafurniture.com,not_available,Furniture store,"QJVR+G9 Doral, Florida",https://www.google.com/maps/place/Rana+Furniture+Distribution+Center+Not+a+Showroom/data=!4m7!3m6!1s0x88d9bbca5c7d485f:0x4ee074be783163f7!8m2!3d25.793873!4d-80.3590276!16s%2Fg%2F1tqnmfmw!19sChIJX0h9XMq72YgR92MxeL504E4?authuser=0&hl=en&rclk=1
MIA1 Amazon Fulfillment,4.1,90,"14000 NW 37th Ave, Opa-locka, FL 33054",not_available,not_available,not_available,not_available,not_available,Warehouse,"VPXQ+QX Opa-locka, Florida",https://www.google.com/maps/place/MIA1+Amazon+Fulfillment/data=!4m7!3m6!1s0x88d9b1ffdacb83f7:0x53b88faa71f78c5!8m2!3d25.899403!4d-80.2600785!16s%2Fg%2F11gsbqsxtk!19sChIJ94PL2v-x2YgRxXgfp_qIOwU?authuser=0&hl=en&rclk=1
