name,rating,reviews,address,phone,website,hours,email,social_media,category,plus_code,url
Cargo Land Air & Ocean Cargo,4.2,13,"2762 NW 112th Ave, Doral, FL 33172",(305) 477-2998,not_available,not_available,not_available,not_available,Freight forwarding service,"QJXC+WH Doral, Florida",https://www.google.com/maps/place/Cargo+Land+Air+%26+Ocean+Cargo/data=!4m7!3m6!1s0x88d9beba063e8f73:0xfbb31b496a56a88!8m2!3d25.7998436!4d-80.3785276!16s%2Fg%2F1vm_ypmh!19sChIJc48-Brq-2YgRiGqllrQxuw8?authuser=0&hl=en&rclk=1
Ocean Air Cargo EXpress,4.5,38,"8353 NW 68th St, Miami, FL 33166",(305) 513-8742,oceanair-usa.com,not_available,not_available,not_available,Shipping service,"RMP8+6Q Miami, Florida",https://www.google.com/maps/place/Ocean+Air+Cargo+EXpress/data=!4m7!3m6!1s0x88d9bbd4682a8055:0x408479dabd47f7ec!8m2!3d25.8355766!4d-80.3330156!16s%2Fg%2F11h64rg0t_!19sChIJVYAqaNS72YgR7PdHvdp5hEA?authuser=0&hl=en&rclk=1
First Class Sea Cargo LLC,3.7,20,"1561 NW 82nd Ave, Doral, FL 33126",(305) 863-6303,fcscargo.com,not_available,not_available,not_available,Shipping service,"QMQC+CH Doral, Florida",https://www.google.com/maps/place/First+Class+Sea+Cargo+LLC/data=!4m7!3m6!1s0x88d9ba31d0926c3b:0x8e607b623a18201!8m2!3d25.7885704!4d-80.3285153!16s%2Fg%2F11b66f40x_!19sChIJO2yS0DG62YgRAYKhI7YH5gg?authuser=0&hl=en&rclk=1
"King Ocean Services, Ltd.",3.9,173,"13155 NW 19th Ln, Doral, FL 33182",(305) 591-7595,kingocean.com,not_available,customerservice@kingocean.com,not_available,Shipping company,"QHRV+W2 Doral, Florida","https://www.google.com/maps/place/King+Ocean+Services,+Ltd./data=!4m7!3m6!1s0x88d9b9a0928802a9:0xe6387287b059d2d3!8m2!3d25.7923479!4d-80.407414!16s%2Fg%2F1td05w2c!19sChIJqQKIkqC52YgR09JZsIdyOOY?authuser=0&hl=en&rclk=1"
Ocean Air Cargo,4.3,4,"5555 NW 72nd Ave, Miami, FL 33166",(305) 888-2864,not_available,not_available,not_available,not_available,Freight forwarding service,"RMFQ+M2 Miami, Florida",https://www.google.com/maps/place/Ocean+Air+Cargo/data=!4m7!3m6!1s0x88d9ba31d0c63f55:0xf3861e98cc622956!8m2!3d25.8241527!4d-80.3123939!16s%2Fg%2F1tx_74sl!19sChIJVT_G0DG62YgRVilizJgehvM?authuser=0&hl=en&rclk=1
Ocean Air Land Freight Corporation,not_available,not_available,"8600 NW 30th Terrace, Doral, FL 33122",(305) 477-3149,not_available,not_available,not_available,not_available,Freight forwarding service,"RM27+JW Doral, Florida",https://www.google.com/maps/place/Ocean+Air+Land+Freight+Corporation/data=!4m7!3m6!1s0x88d9b965800a73bd:0xea8d2b439027573c!8m2!3d25.8015494!4d-80.3352421!16s%2Fg%2F1tfzsqm0!19sChIJvXMKgGW52YgRPFcnkEMrjeo?authuser=0&hl=en&rclk=1
One Ocean Cargo,5.0,2,"10983 NW 122nd St, Medley, FL 33178",(305) 631-2692,hadcoltd.com,not_available,not_available,not_available,Freight forwarding service,"VJMF+V4 Medley, Florida",https://www.google.com/maps/place/One+Ocean+Cargo/data=!4m7!3m6!1s0x88d9bd64fdadc46b:0x614e3e4c1d2653c1!8m2!3d25.8846613!4d-80.3772316!16s%2Fg%2F11fpd9wm6x!19sChIJa8St_WS92YgRwVMmHUw-TmE?authuser=0&hl=en&rclk=1
AIR OCEAN CARGO,3.5,4,"9195 NW 101st St, Medley, FL 33178",(305) 722-3477,aocorp.net,not_available,not_available,not_available,Freight forwarding service,"VM83+26 Medley, Florida",https://www.google.com/maps/place/AIR+OCEAN+CARGO/data=!4m7!3m6!1s0x88d9bb15d379d0b7:0xbfae1b98b272057d!8m2!3d25.865117!4d-80.3468822!16s%2Fg%2F11h4ch3xmt!19sChIJt9B50xW72YgRfQVyspgbrr8?authuser=0&hl=en&rclk=1
"Freight R Us – Freight, Logistics Company | Air, Ocean Freight Service | White Glove Service",4.8,22,"7521 NW 52nd St, Miami, FL 33166",(561) 463-5385,freightrus.net,not_available,not_available,not_available,Freight forwarding service,"RMCJ+98 Miami, Florida","https://www.google.com/maps/place/Freight+R+Us+%E2%80%93+Freight,+Logistics+Company+%7C+Air,+Ocean+Freight+Service+%7C+White+Glove+Service/data=!4m7!3m6!1s0x88d9bbb0fd492607:0x499e0330e735609b!8m2!3d25.8209016!4d-80.319183!16s%2Fg%2F11f66wtnbd!19sChIJByZJ_bC72YgRm2A15zADnkk?authuser=0&hl=en&rclk=1"
Caribbean Ocean Corporation,4.3,84,"8005 NW 80th St Unit 4, Miami, FL 33166",(305) 885-8008,shiptocaribbean.com,not_available,not_available,not_available,Freight forwarding service,"RMWC+C7 Miami, Florida",https://www.google.com/maps/place/Caribbean+Ocean+Corporation/data=!4m7!3m6!1s0x88d9bbb1c423bbf7:0x605ae1f1a563e0f6!8m2!3d25.8460634!4d-80.3293675!16s%2Fg%2F1v42gm0q!19sChIJ97sjxLG72YgR9uBjpfHhWmA?authuser=0&hl=en&rclk=1
