name,rating,reviews,address,phone,website,hours,email,social_media,category,plus_code,url
Neptune Cold Storage LLC,4.7,21,"7337 NW 37th Ave, Miami, FL 33147",(386) 204-0305,neptunecoldstorage.com,not_available,not_available,not_available,Cold storage facility,"RPRV+72 Miami, Florida",https://www.google.com/maps/place/Neptune+Cold+Storage+LLC/data=!4m7!3m6!1s0x88d9b09255a981df:0xec9893b760801cff!8m2!3d25.840656!4d-80.257392!16s%2Fg%2F11bbw_zbf9!19sChIJ34GpVZKw2YgR_xyAYLeTmOw?authuser=0&hl=en&rclk=1
Megacenter Self-Storage & Office Suites,4.8,104,"420 SW 7th St, Miami, FL 33130",(786) 635-1301,megacenterus.com,Closed ⋅ Opens 8:30 AM Thu,not_available,not_available,Office space rental agency,"QQ8X+PG Miami, Florida",https://www.google.com/maps/place/Megacenter+Self-Storage+%26+Office+Suites/data=!4m7!3m6!1s0x88d9b68fac6537e1:0xe9c2a76b096d012f!8m2!3d25.766813!4d-80.201242!16s%2Fg%2F11cmn87zdk!19sChIJ4TdlrI-22YgRLwFtCWunwuk?authuser=0&hl=en&rclk=1
Warehouse,5.0,3,"6451 NW 102nd Ave, Doral, FL 33178",not_available,not_available,not_available,not_available,not_available,Warehouse,"RJJR+QM Doral, Florida",https://www.google.com/maps/place/Warehouse/data=!4m7!3m6!1s0x88d9bbf9f2f2edef:0xefbb726856ca1edc!8m2!3d25.8319175!4d-80.3582703!16s%2Fg%2F11r_tyft95!19sChIJ7-3y8vm72YgR3B7KVmhyu-8?authuser=0&hl=en&rclk=1
Public Storage,4.7,706,"3900 NW 115th Ave, Doral, FL 33178",(786) 600-2025,publicstorage.com,Closed ⋅ Opens 6 AM Thu,not_available,not_available,Self-storage facility,"RJ68+34 Doral, Florida",https://www.google.com/maps/place/Public+Storage/data=!4m7!3m6!1s0x88d9bb1f76c2de83:0x47e76feaa7576f29!8m2!3d25.8101343!4d-80.3846439!16s%2Fg%2F113jhv74l!19sChIJg97Cdh-72YgRKW9Xp-pv50c?authuser=0&hl=en&rclk=1
Premier Warehouse Logistics,5.0,7,"3600 NW 114 Ave Doral, Miami, FL 33178",(305) 877-5964,mypremierwarehouse.com,not_available,not_available,not_available,Warehouse,"RJ49+Q2 Miami, Florida",https://www.google.com/maps/place/Premier+Warehouse+Logistics/data=!4m7!3m6!1s0x88d9bf29c6bbb123:0x29045021e26eb9a5!8m2!3d25.8069047!4d-80.3823901!16s%2Fg%2F11rctyrgfy!19sChIJI7G7xim_2YgRpblu4iFQBCk?authuser=0&hl=en&rclk=1
Public Storage,4.8,397,"9600 NW 40th Street Rd, Doral, FL 33178",(305) 705-6920,publicstorage.com,Closed ⋅ Opens 6 AM Thu,not_available,not_available,Self-storage facility,"RJ5W+JQ Doral, Florida",https://www.google.com/maps/place/Public+Storage/data=!4m7!3m6!1s0x88d9b959896ccff3:0x2d40a651d5d9670c!8m2!3d25.8090827!4d-80.3530069!16s%2Fg%2F1tx164mh!19sChIJ889siVm52YgRDGfZ1VGmQC0?authuser=0&hl=en&rclk=1
ReadySpaces,4.3,68,"2900 NW 112th Ave, Doral, FL 33172",(786) 838-0644,readyspaces.com,not_available,not_available,not_available,Warehouse,"RJ2C+FP Doral, Florida",https://www.google.com/maps/place/ReadySpaces/data=!4m7!3m6!1s0x88d9beba60930845:0x30b643d655130c8f!8m2!3d25.8011375!4d-80.3782177!16s%2Fg%2F11g8ty43w3!19sChIJRQiTYLq-2YgRjwwTVdZDtjA?authuser=0&hl=en&rclk=1
HiveHub | Warehousing & Logistics in Doral,4.0,8,"3200 NW 112th Ave, Doral, FL 33172",(786) 889-6897,hivehub.com,not_available,not_available,not_available,Coworking space,"RJ3C+8H Doral, Florida",https://www.google.com/maps/place/HiveHub+%7C+Warehousing+%26+Logistics+in+Doral/data=!4m7!3m6!1s0x88d9bf9ad98cf163:0xd37c2dcaf4be8f7a!8m2!3d25.8033572!4d-80.3785656!16s%2Fg%2F11vdt_w78b!19sChIJY_GM2Zq_2YgReo--9MotfNM?authuser=0&hl=en&rclk=1
Warehouses For Sale In Miami,4.9,17,"8200 NW 27th St #107, Doral, FL 33122",(305) 930-3873,warehousesforsaleinmiami.com,not_available,not_available,not_available,Commercial real estate agency,"QMXC+35 Doral, Florida",https://www.google.com/maps/place/Warehouses+For+Sale+In+Miami/data=!4m7!3m6!1s0x88d9bfdd8fe9a2c3:0xa1e41bdfcc7b6d38!8m2!3d25.7976706!4d-80.3295159!16s%2Fg%2F11qnsdy3p3!19sChIJw6Lpj92_2YgROG17zN8b5KE?authuser=0&hl=en&rclk=1
Saltbox | Warehousing & Logistics for Ecommerce in Doral,4.4,8,"1701 NW 84th Ave, Miami, FL 33126",(786) 668-3020,saltbox.com,not_available,not_available,"{""twitter"": ""x.com/miami-doral""}",Warehouse,"QMR9+88 Miami, Florida",https://www.google.com/maps/place/Saltbox+%7C+Warehousing+%26+Logistics+for+Ecommerce+in+Doral/data=!4m7!3m6!1s0x88d9b9299534c80f:0xca6f9b548d4dc152!8m2!3d25.7908425!4d-80.3317371!16s%2Fg%2F11s59709t9!19sChIJD8g0lSm52YgRUsFNjVSbb8o?authuser=0&hl=en&rclk=1
Bridge Point Doral,1.6,18,"3600 NW 112th Ave, Doral, FL 33178",(786) 792-5213,bridgepointdoral.com,not_available,not_available,not_available,Warehouse,"RJ5G+65 Doral, Florida",https://www.google.com/maps/place/Bridge+Point+Doral/data=!4m7!3m6!1s0x88d9bf2cd4a46e81:0xba4974786943c7fe!8m2!3d25.8080397!4d-80.3745157!16s%2Fg%2F11thc1lpvw!19sChIJgW6k1Cy_2YgR_sdDaXh0Sbo?authuser=0&hl=en&rclk=1
Public Storage,4.9,468,"7511 NW 73rd St, Miami, FL 33166",(786) 600-2090,publicstorage.com,Closed ⋅ Opens 6 AM Thu,not_available,not_available,Self-storage facility,"RMRH+3W Miami, Florida",https://www.google.com/maps/place/Public+Storage/data=!4m7!3m6!1s0x88d9ba4b3f0d4893:0x9ea899921a913d46!8m2!3d25.8402215!4d-80.3201691!16s%2Fg%2F1tdgw5zv!19sChIJk0gNP0u62YgRRj2RGpKZqJ4?authuser=0&hl=en&rclk=1
