name,rating,reviews,address,phone,website,hours,email,social_media,category,plus_code,url
Tri County Truck and Trailer Repair Inc,4.4,310,"8000 NW 74th St, Medley, FL 33166",(786) 879-2275,tctruckandtrailer.com,not_available,not_available,not_available,Truck repair shop,"RMRF+49 Medley, Florida",https://www.google.com/maps/place/Tri+County+Truck+and+Trailer+Repair+Inc/data=!4m7!3m6!1s0x88d9bb755711df49:0x56c5f26c4d3994ee!8m2!3d25.8402988!4d-80.3265861!16s%2Fg%2F11f405hfzy!19sChIJSd8RV3W72YgR7pQ5TWzyxVY?authuser=0&hl=en&rclk=1
FLEET MASTERS TRUCK AND TRAILER REPAIR INC,4.7,308,"9875 NW 115th Way, Medley, FL 33178",(800) 443-0388,fleetmasterttr.com,not_available,not_available,not_available,Diesel engine repair service,"VJGV+G2 Medley, Florida",https://www.google.com/maps/place/FLEET+MASTERS+TRUCK+AND+TRAILER+REPAIR+INC/data=!4m7!3m6!1s0x88d9bbedf5b830d5:0xf162eadb60c9dd24!8m2!3d25.8762558!4d-80.3574773!16s%2Fg%2F11jgxbt68s!19sChIJ1TC49e272YgRJN3JYNvqYvE?authuser=0&hl=en&rclk=1
Phoenix Truck Repair,5.0,45,"3724 NW 43rd St, Miami, FL 33142",(305) 930-5589,phoenixtruckrepair1.com,not_available,not_available,not_available,Truck repair shop,"RP7V+H4 Miami, Florida",https://www.google.com/maps/place/Phoenix+Truck+Repair/data=!4m7!3m6!1s0x88d9b100cf6a99b9:0x15820d5f07d84fcb!8m2!3d25.8139633!4d-80.2571522!16s%2Fg%2F11wqqvlhj5!19sChIJuZlqzwCx2YgRy0_YB18NghU?authuser=0&hl=en&rclk=1
"ABC Truck & Trailer Repair, Inc",4.1,49,"7320 NW 58th St, Miami, FL 33166",(305) 930-5589,abctruckrepair.com,not_available,not_available,not_available,Truck repair shop,"RMGM+9C Miami, Florida","https://www.google.com/maps/place/ABC+Truck+%26+Trailer+Repair,+Inc/data=!4m7!3m6!1s0x88d9b1e640cceaa3:0x32ac13f1ca60323d!8m2!3d25.8258992!4d-80.3164723!16s%2Fg%2F11pcwljc_n!19sChIJo-rMQOax2YgRPTJgyvETrDI?authuser=0&hl=en&rclk=1"
"Infinity Truck and Trailer Repair, LLC",4.5,22,"7001 NW 36th Ave Suite B, Miami, FL 33147",(786) 930-0352,infinitytruckrepair.com,not_available,not_available,not_available,Truck repair shop,"RPPV+XX Miami, Florida","https://www.google.com/maps/place/Infinity+Truck+and+Trailer+Repair,+LLC/data=!4m7!3m6!1s0x88d9b1a873e07d8f:0x784c4c6ab77ffe11!8m2!3d25.8374119!4d-80.2550012!16s%2Fg%2F11w9rc8sz7!19sChIJj33gc6ix2YgREf5_t2pMTHg?authuser=0&hl=en&rclk=1"
Mobile Semi Truck Mechanic Medley,5.0,4,"7752 NW 72nd Ave, Medley, FL 33166",(954) 853-7597,mobiletruckmechanicmedley.com,not_available,not_available,not_available,Truck repair shop,"RMVP+R6 Medley, Florida",https://www.google.com/maps/place/Mobile+Semi+Truck+Mechanic+Medley/data=!4m7!3m6!1s0x88d9bb90943dc1b1:0x13a4a993236bbcb7!8m2!3d25.8445351!4d-80.3144635!16s%2Fg%2F11xtjnd2lf!19sChIJscE9lJC72YgRt7xrI5OppBM?authuser=0&hl=en&rclk=1
Machinery Truck Repair,4.7,92,"8145 NW 93rd St, Medley, FL 33166",(305) 305-9614,bestmecanic.blogspot.com,not_available,not_available,not_available,Truck repair shop,"VM59+7R Medley, Florida",https://www.google.com/maps/place/Machinery+Truck+Repair/data=!4m7!3m6!1s0x88d9bba84610f5c1:0x4413183b03a2bb3b!8m2!3d25.8582385!4d-80.3304258!16s%2Fg%2F11bz_1nqwx!19sChIJwfUQRqi72YgRO7uiAzsYE0Q?authuser=0&hl=en&rclk=1
"The Diesel Shop, Inc / TDS Miami",4.9,122,"1569 NW 88th Ave, Doral, FL 33172",(786) 452-1978,tdsmiami.com,Closed ⋅ Opens 7 AM Thu,not_available,not_available,Diesel engine repair service,"QMQ6+8H Doral, Florida","https://www.google.com/maps/place/The+Diesel+Shop,+Inc+%2F+TDS+Miami/data=!4m7!3m6!1s0x88d9b9148e39de01:0x2f8bf2b8dc94faa3!8m2!3d25.7883262!4d-80.3385141!16s%2Fg%2F11c3hw6yjd!19sChIJAd45jhS52YgRo_qU3Ljyiy8?authuser=0&hl=en&rclk=1"
Viera Truck Repair,4.3,65,"8700 NW 93rd St, Medley, FL 33178",(305) 926-5435,not_available,not_available,not_available,not_available,Truck repair shop,"VM56+29 Medley, Florida",https://www.google.com/maps/place/Viera+Truck+Repair/data=!4m7!3m6!1s0x88d9bb0d2e658cf9:0x7e227a65060bcbbf!8m2!3d25.8575046!4d-80.3390221!16s%2Fg%2F11gvs7w508!19sChIJ-YxlLg272YgRv8sLBmV6In4?authuser=0&hl=en&rclk=1
Sarrias Truck Repair,3.5,49,"10022 NW South River Dr, Medley, FL 33166",(305) 305-5272,sarriastruck.com,not_available,not_available,not_available,Truck repair shop,"VM76+VP Medley, Florida",https://www.google.com/maps/place/Sarrias+Truck+Repair/data=!4m7!3m6!1s0x88d9bb0bdda77e77:0x6978ec342fc624f!8m2!3d25.8647186!4d-80.3381867!16s%2Fg%2F1tj7x598!19sChIJd36n3Qu72YgRT2L8QsOOlwY?authuser=0&hl=en&rclk=1
Two Brothers Truck Repair,4.6,61,"8700 NW 93rd St Side, Medley, FL 33166",(305) 824-1944,facebook.com,not_available,not_available,"{""facebook"": ""https://www.facebook.com/twobrotherstruckrepair""}",Truck repair shop,"VM56+29 Medley, Florida",https://www.google.com/maps/place/Two+Brothers+Truck+Repair/data=!4m7!3m6!1s0x88d9bb0d3d3391d9:0x932f2bb5f6360bff!8m2!3d25.8575046!4d-80.3390221!16s%2Fg%2F1thnpkzs!19sChIJ2ZEzPQ272YgR_ws29rUrL5M?authuser=0&hl=en&rclk=1
Diesel Power Truck Services,5.0,75,"7900 NW 67th St, Miami, FL 33166",(786) 718-3943,dieselpowertruckservices.com,not_available,not_available,not_available,Truck repair shop,"RMMF+JH Miami, Florida",https://www.google.com/maps/place/Diesel+Power+Truck+Services/data=!4m7!3m6!1s0x88d9bbcd73fa206b:0x25db88ffa292ce38!8m2!3d25.834016!4d-80.32607!16s%2Fg%2F11gylhgxn9!19sChIJayD6c8272YgROM6Sov-I2yU?authuser=0&hl=en&rclk=1
Bentley Truck Repair Miami,1.0,not_available,"NW 35th Terrace, Miami, FL 33122",(786) 551-4922,bentleytruckrepair.com,not_available,not_available,not_available,Truck repair shop,"RM4H+VV Miami, Florida",https://www.google.com/maps/place/Bentley+Truck+Repair+Miami/data=!4m7!3m6!1s0x88d9b981ede6a92d:0xf259ea7fb826fb33!8m2!3d25.8071857!4d-80.3203164!16s%2Fg%2F11gr376wsn!19sChIJLanm7YG52YgRM_smuH_qWfI?authuser=0&hl=en&rclk=1
Kiki's Truck Maintenance,4.8,33,"9395 NW 109th St, Medley, FL 33178",(305) 609-6197,not_available,not_available,not_available,not_available,Truck repair shop,"VJFX+7M Medley, Florida",https://www.google.com/maps/place/Kiki%27s+Truck+Maintenance/data=!4m7!3m6!1s0x88d9bbc1273cb067:0x39b83439102aabcb!8m2!3d25.873183!4d-80.3508364!16s%2Fg%2F11vdw6sv3b!19sChIJZ7A8J8G72YgRy6sqEDk0uDk?authuser=0&hl=en&rclk=1
Proline Truck Services,4.6,185,"3230 NW 42nd St, Miami, FL 33142",(305) 456-7957,prolineserviceus.com,not_available,not_available,not_available,Truck repair shop,"RQ72+87 Miami, Florida",https://www.google.com/maps/place/Proline+Truck+Services/data=!4m7!3m6!1s0x88d9b0c8e5500001:0xcc8b53888c177385!8m2!3d25.8132553!4d-80.2493604!16s%2Fg%2F11hy9nz_qh!19sChIJAQBQ5ciw2YgRhXMXjIhTi8w?authuser=0&hl=en&rclk=1
"Los Viñaleros Truck Oil Change,Repair And Maintenance",4.7,94,"9530 NW South River Dr, Medley, FL 33166",(786) 973-8927,not_available,not_available,not_available,not_available,Truck repair shop,"VM68+9G Medley, Florida","https://www.google.com/maps/place/Los+Vi%C3%B1aleros+Truck+Oil+Change,Repair+And+Maintenance/data=!4m7!3m6!1s0x88d9bb0817ed1893:0xf46f3b97688a2ebe!8m2!3d25.8609234!4d-80.3337099!16s%2Fg%2F11c2pf8y9x!19sChIJkxjtFwi72YgRvi6KaJc7b_Q?authuser=0&hl=en&rclk=1"
Davila Truck Maintenance,3.3,24,"6402 NW 84th Ave, Miami, FL 33166",(786) 615-7531,not_available,not_available,not_available,not_available,Truck repair shop,"RMJ8+V7 Miami, Florida",https://www.google.com/maps/place/Davila+Truck+Maintenance/data=!4m7!3m6!1s0x88d9b98f62e5034b:0x21d10b0d835e30f7!8m2!3d25.8322155!4d-80.3342651!16s%2Fg%2F11g0k0xtvk!19sChIJSwPlYo-52YgR9zBegw0L0SE?authuser=0&hl=en&rclk=1
Monster Truck Repair,4.6,86,"8960 NW 119th St, Hialeah Gardens, FL 33018",(786) 703-6128,monstertruckrepair.com,not_available,not_available,not_available,Truck repair shop,"VMJ3+CX Hialeah Gardens, Florida",https://www.google.com/maps/place/Monster+Truck+Repair/data=!4m7!3m6!1s0x88d9bb92e849a59f:0xd97f06d8b3b95157!8m2!3d25.8810178!4d-80.3450883!16s%2Fg%2F11fmf3my3r!19sChIJn6VJ6JK72YgRV1G5s9gGf9k?authuser=0&hl=en&rclk=1
"EMPIRE ROAD SEVICE TRUCK,TRAILER AND RV REPAIR",3.5,12,"1506 SW 66th Ct, Miami, FL 33144",(786) 792-9329,not_available,not_available,not_available,not_available,Mechanic,"QM4W+HP Miami, Florida","https://www.google.com/maps/place/EMPIRE+ROAD+SEVICE+TRUCK,TRAILER+AND+RV+REPAIR/data=!4m7!3m6!1s0x88d9b9ff504dad8f:0x374db623ac01fec3!8m2!3d25.756392!4d-80.3031819!16s%2Fg%2F11fl0qf7bp!19sChIJj61NUP-52YgRw_4BrCO2TTc?authuser=0&hl=en&rclk=1"
All Trucks Services,4.0,81,"2955 NW 73rd St, Miami, FL 33147",(786) 615-3942,not_available,not_available,not_available,not_available,Truck repair shop,"RQR4+73 Miami, Florida",https://www.google.com/maps/place/All+Trucks+Services/data=!4m7!3m6!1s0x88d9b0efb08fffff:0xb9dee3c7bea483c1!8m2!3d25.84064!4d-80.2448491!16s%2Fg%2F11gh4m2kwl!19sChIJ__-PsO-w2YgRwYOkvsfj3rk?authuser=0&hl=en&rclk=1
