name,rating,reviews,address,phone,website,hours,email,social_media,category,plus_code,url
"Armellini Logistics- Miami, FL",4.1,108,"2811 NW 74th Ave, Doral, FL 33122",(305) 592-5933,armellini.com,not_available,not_available,not_available,Logistics service,"RM2M+3H Doral, Florida","https://www.google.com/maps/place/Armellini+Logistics-+Miami,+FL/data=!4m7!3m6!1s0x88d9b99caae672dd:0x780e4daa63745e5e!8m2!3d25.8002471!4d-80.3160018!16s%2Fg%2F1tsr3_sh!19sChIJ3XLmqpy52YgRXl50Y6pNDng?authuser=0&hl=en&rclk=1"
Heat Express Inc,4.7,26,"8801 NW 23rd St, Doral, FL 33172",(305) 418-5035,heatexpressmiami.com,not_available,not_available,not_available,Trucking company,"QMW6+2G Doral, Florida",https://www.google.com/maps/place/Heat+Express+Inc/data=!4m7!3m6!1s0x88d9b055916c7771:0xb42a1f244cf60aca!8m2!3d25.7950964!4d-80.3386585!16s%2Fg%2F1tgcn2f_!19sChIJcXdskVWw2YgRygr2TCQfKrQ?authuser=0&hl=en&rclk=1
"Supreme Produce Logistics, Corp",5.0,7,"1690 NW 108th Ave Unit 147, Doral, FL 33172",(786) 447-5678,not_available,not_available,not_available,not_available,Trucking company,"QJQH+WH Doral, Florida","https://www.google.com/maps/place/Supreme+Produce+Logistics,+Corp/data=!4m7!3m6!1s0x88d9b9c1252622f3:0x9a06cc8596aaa043!8m2!3d25.789754!4d-80.371052!16s%2Fg%2F11q93zm3gm!19sChIJ8yImJcG52YgRQ6CqloXMBpo?authuser=0&hl=en&rclk=1"
Florida Beauty Flora Transportation,3.6,203,"3400 NW 74th Ave, Miami, FL 33122",(305) 503-1200,floridabeauty.us,not_available,not_available,not_available,Transportation service,"RM3J+VV Miami, Florida",https://www.google.com/maps/place/Florida+Beauty+Flora+Transportation/data=!4m7!3m6!1s0x88d9b983baea89ed:0x38cd62c31d098c90!8m2!3d25.8046554!4d-80.3177678!16s%2Fg%2F1tvdklpl!19sChIJ7YnquoO52YgRkIwJHcNizTg?authuser=0&hl=en&rclk=1
"BN Trucking Services, Inc.",4.0,22,"2127-2129 NW 79th Ave, Doral, FL 33122",(305) 436-1459,bntruckingservices.com,not_available,not_available,not_available,Trucking company,"QMVH+F3 Doral, Florida","https://www.google.com/maps/place/BN+Trucking+Services,+Inc./data=!4m7!3m6!1s0x88d9b976ee84f2f9:0xa29812af037b27ed!8m2!3d25.7937223!4d-80.3223035!16s%2Fg%2F1tnl2631!19sChIJ-fKE7na52YgR7Sd7A68SmKI?authuser=0&hl=en&rclk=1"
Andoba Trucking Inc,4.6,37,"3561 E 4th Ave, Hialeah, FL 33013",(305) 907-0786,andobatrucking.com,not_available,not_available,not_available,Trucking company,"VP5J+8C Hialeah, Florida",https://www.google.com/maps/place/Andoba+Trucking+Inc/data=!4m7!3m6!1s0x88d9b0805d827cf5:0x8251498ae636b8aa!8m2!3d25.8583473!4d-80.268955!16s%2Fg%2F11f_grv7xb!19sChIJ9XyCXYCw2YgRqrg25opJUYI?authuser=0&hl=en&rclk=1
Doral Freight Logistics Inc,4.9,7,"11450 NW 34th St Suite 100, Doral, FL 33178",(305) 477-1022,doralfreight.com,not_available,not_available,not_available,Freight forwarding service,"RJ38+QP Doral, Florida",https://www.google.com/maps/place/Doral+Freight+Logistics+Inc/data=!4m7!3m6!1s0x88d9bbb9bfa0402d:0x2bdfe993687b97d8!8m2!3d25.8044871!4d-80.3831756!16s%2Fg%2F11bxg0lz3k!19sChIJLUCgv7m72YgR2Jd7aJPp3ys?authuser=0&hl=en&rclk=1
Lazaro Delivery Corporation,3.7,66,"7451 NW 63rd St, Doral, FL 33166",(305) 629-8948,lazarodelivery.com,not_available,not_available,not_available,Trucking company,"RMJJ+9C Doral, Florida",https://www.google.com/maps/place/Lazaro+Delivery+Corporation/data=!4m7!3m6!1s0x88d9b94595f4f47b:0x1db39223ac98f94f!8m2!3d25.830989!4d-80.3188957!16s%2Fg%2F11btw_yfzt!19sChIJe_T0lUW52YgRT_mYrCOSsx0?authuser=0&hl=en&rclk=1
O'Globo Cargo Miami,4.5,44,"4815 NW 79th Ave Unit 05, Doral, FL 33166",(786) 534-9510,oglobocargo.com,not_available,not_available,not_available,Trucking company,"RM9G+32 Doral, Florida",https://www.google.com/maps/place/O%27Globo+Cargo+Miami/data=!4m7!3m6!1s0x88d9b852935245e1:0xb6dbf51daa338078!8m2!3d25.8177459!4d-80.3249602!16s%2Fg%2F11gbkjv56p!19sChIJ4UVSk1K42YgReIAzqh3127Y?authuser=0&hl=en&rclk=1
Servitrans Cargo Doral,3.7,6,"1736 NW 82nd Ave, Doral, FL 33126",(786) 334-6828,servitranscargo.com,not_available,not_available,not_available,Trucking company,"QMR9+4W Doral, Florida",https://www.google.com/maps/place/Servitrans+Cargo+Doral/data=!4m7!3m6!1s0x88d9b94175fc481d:0xe46733d9aea68332!8m2!3d25.7903337!4d-80.3301267!16s%2Fg%2F11y7v00p27!19sChIJHUj8dUG52YgRMoOmrtkzZ-Q?authuser=0&hl=en&rclk=1
Martainer Inc,3.7,36,"13155 NW 19th Ln, Doral, FL 33182",(305) 593-9113,kingocean.com,not_available,not_available,not_available,Trucking company,"QHRR+WX Doral, Florida",https://www.google.com/maps/place/Martainer+Inc/data=!4m7!3m6!1s0x88d9be931a910d2f:0x1f11f8303a21fac1!8m2!3d25.7923591!4d-80.4075631!16s%2Fg%2F1260jcv9q!19sChIJLw2RGpO-2YgRwfohOjD4ER8?authuser=0&hl=en&rclk=1
AB TRUCKING OF MIAMI INC,4.8,26,"9901 NW 106th St #5, Medley, FL 33178",(954) 756-5715,abtruckingofmiami.com,not_available,not_available,not_available,Transportation service,"VJCQ+7P Medley, Florida",https://www.google.com/maps/place/AB+TRUCKING+OF+MIAMI+INC/data=!4m7!3m6!1s0x88d9bb3b69c85be5:0x4bac67bd13d44e21!8m2!3d25.8706593!4d-80.3607414!16s%2Fg%2F11h93d1bty!19sChIJ5VvIaTu72YgRIU7UE71nrEs?authuser=0&hl=en&rclk=1
High Quality Trucking Inc,4.3,27,"9830 NW 114th Way, Medley, FL 33178",(305) 882-0288,safer.fmcsa.dot.gov,not_available,not_available,not_available,Trucking company,"VJFV+M5 Medley, Florida",https://www.google.com/maps/place/High+Quality+Trucking+Inc/data=!4m7!3m6!1s0x88d9bb653b4b8865:0xee6e416e3e922805!8m2!3d25.874225!4d-80.3570548!16s%2Fg%2F11b76ttndq!19sChIJZYhLO2W72YgRBSiSPm5Bbu4?authuser=0&hl=en&rclk=1
Brit Trading Llc,5.0,4,"8375 NW 53rd Terrace, Doral, FL 33166",(786) 389-4383,not_available,not_available,not_available,not_available,Trucking company,"RMC8+QP Doral, Florida",https://www.google.com/maps/place/Brit+Trading+Llc/data=!4m7!3m6!1s0x88d9bd01d00ef8e5:0x5e5cd3c4e3451285!8m2!3d25.8219972!4d-80.3331708!16s%2Fg%2F11j6z45v55!19sChIJ5fgO0AG92YgRhRJF48TTXF4?authuser=0&hl=en&rclk=1
Suddenly Express Corporation,4.5,8,"1475 NW 97th Ave STE 102, Doral, FL 33172",(305) 717-3252,suddex.com,not_available,not_available,not_available,Trucking company,"QJQX+42 Doral, Florida",https://www.google.com/maps/place/Suddenly+Express+Corporation/data=!4m7!3m6!1s0x88d9b939ae845e09:0xcbbf6a9ed37a97ce!8m2!3d25.7878739!4d-80.3524498!16s%2Fg%2F1vnnk64z!19sChIJCV6Erjm52YgRzpd6055qv8s?authuser=0&hl=en&rclk=1
BELUH INTERNATIONAL SERVICES,5.0,18,"5141 NW 79th Ave #7, Doral, FL 33166",(786) 647-0973,beluh.com,not_available,not_available,not_available,Trucking company,"RM9G+XM Doral, Florida",https://www.google.com/maps/place/BELUH+INTERNATIONAL+SERVICES/data=!4m7!3m6!1s0x88d9bbcee26b6121:0x3dd23e9ca2981db4!8m2!3d25.819928!4d-80.3232844!16s%2Fg%2F11fm_754p9!19sChIJIWFr4s672YgRtB2Yopw-0j0?authuser=0&hl=en&rclk=1
Gold Coast Customs Express Corp.,4.0,124,"1335 NW 98th Ct Unit 2, Doral, FL 33172",(786) 452-9090,not_available,not_available,not_available,not_available,Trucking company,"QJPW+F9 Doral, Florida",https://www.google.com/maps/place/Gold+Coast+Customs+Express+Corp./data=!4m7!3m6!1s0x88d9b9b9e7568131:0xa477b861e7a9cc63!8m2!3d25.7861322!4d-80.3540786!16s%2Fg%2F11j5s8cd_w!19sChIJMYFW57m52YgRY8yp52G4d6Q?authuser=0&hl=en&rclk=1
M C International Transportation,4.6,69,"8321 NW 68th St, Miami, FL 33166",(305) 805-8228,mcitransport.com,not_available,not_available,not_available,Trucking company,"RMP9+55 Miami, Florida",https://www.google.com/maps/place/M+C+International+Transportation/data=!4m7!3m6!1s0x88d9bbb10ca8379d:0x8bb375681aab2609!8m2!3d25.8354589!4d-80.3320953!16s%2Fg%2F1tgx7dny!19sChIJnTeoDLG72YgRCSarGmh1s4s?authuser=0&hl=en&rclk=1
American Sourcing LLC,5.0,2,"8892 NW 102nd Ct, Doral, FL 33178",(786) 405-6907,safer.fmcsa.dot.gov,not_available,not_available,not_available,Trucking company,"VJ3P+RJ Doral, Florida",https://www.google.com/maps/place/American+Sourcing+LLC/data=!4m7!3m6!1s0x88d9bba71ae83cdb:0xbb30d6180f130f15!8m2!3d25.854616!4d-80.3634399!16s%2Fg%2F11nmrtjdxh!19sChIJ2zzoGqe72YgRFQ8TDxjWMLs?authuser=0&hl=en&rclk=1
ROB D TRUCKING INC,2.5,2,"5015 NW 79th Ave lot A, Doral, FL 33166",(786) 502-2416,not_available,not_available,not_available,not_available,Trucking company,"RM9G+M2 Doral, Florida",https://www.google.com/maps/place/ROB+D+TRUCKING+INC/data=!4m7!3m6!1s0x88d9bbd3ed164d8d:0x2bb95f3719c2601b!8m2!3d25.8192124!4d-80.3249894!16s%2Fg%2F11b6_sg5ks!19sChIJjU0W7dO72YgRG2DCGTdfuSs?authuser=0&hl=en&rclk=1
"Catalina Cold Transfer , Inc.",4.7,34,"2927 NW 74th Ave, Miami, FL 33122",(305) 592-9975,catalinacoldtransfer.com,not_available,not_available,not_available,Trucking company,"RM2M+C7 Miami, Florida","https://www.google.com/maps/place/Catalina+Cold+Transfer+,+Inc./data=!4m7!3m6!1s0x88d9b9834e31dd65:0xa6e861741a15c3fb!8m2!3d25.8010867!4d-80.3167521!16s%2Fg%2F1tcx_mzk!19sChIJZd0xToO52YgR-8MVGnRh6KY?authuser=0&hl=en&rclk=1"
Lara's Trucking,3.8,12,"7001 NW 84th Ave, Miami, FL 33166",(305) 436-1700,not_available,not_available,not_available,not_available,Trucking,"RMQ8+4C Miami, Florida",https://www.google.com/maps/place/Lara%27s+Trucking/data=!4m7!3m6!1s0x88d9b978c32a1dbd:0xe48c097db01fc8eb!8m2!3d25.8377679!4d-80.3339085!16s%2Fg%2F12639t4tx!19sChIJvR0qw3i52YgR68gfsH0JjOQ?authuser=0&hl=en&rclk=1
"Freight Dispatch Service, INC",4.5,24,"8880 NW 20th St suite j, Miami, FL 33172",(786) 740-3911,fdscarrier.com,not_available,not_available,not_available,Trucking company,"QMR5+QM Miami, Florida","https://www.google.com/maps/place/Freight+Dispatch+Service,+INC/data=!4m7!3m6!1s0x88d9b9a7235e33ab:0x7381198aaf20f83f!8m2!3d25.7918798!4d-80.3408082!16s%2Fg%2F11fky_9scj!19sChIJqzNeI6e52YgRP_ggr4oZgXM?authuser=0&hl=en&rclk=1"
Cicar Trucking LLC,5.0,4,"3871 Estepona Ave, Doral, FL 33178",(786) 390-9662,quicktransportsolutions.com,not_available,not_available,not_available,Transportation service,"RJ5P+QX Doral, Florida",https://www.google.com/maps/place/Cicar+Trucking+LLC/data=!4m7!3m6!1s0x88d9b97247c24c45:0x63511f575c1fffa6!8m2!3d25.8094259!4d-80.362561!16s%2Fg%2F11q1q8jnrd!19sChIJRUzCR3K52YgRpv8fXFcfUWM?authuser=0&hl=en&rclk=1
Go Express Inc,3.0,2,"8811 NW 23rd St, Doral, FL 33172",(305) 471-9004,goexpressincmiami.com,not_available,not_available,not_available,Trucking company,"QMW6+48 Doral, Florida",https://www.google.com/maps/place/Go+Express+Inc/data=!4m7!3m6!1s0x88d9b96bc1167b0b:0x8fd89dd64b07f04c!8m2!3d25.795324!4d-80.3391446!16s%2Fg%2F125_z1x8r!19sChIJC3sWwWu52YgRTPAHS9ad2I8?authuser=0&hl=en&rclk=1
Gold coast consolidator Inc,4.8,5,"6994 NW 82nd Ave, Miami, FL 33166",(786) 620-6126,not_available,not_available,not_available,not_available,Freight forwarding service,"RMP9+JV Miami, Florida",https://www.google.com/maps/place/Gold+coast+consolidator+Inc/data=!4m7!3m6!1s0x88d9b99a09ca4b13:0x134aa7a3192c8cb!8m2!3d25.8365235!4d-80.3303731!16s%2Fg%2F11cm1blq47!19sChIJE0vKCZq52YgRy8iSMXqqNAE?authuser=0&hl=en&rclk=1
Alva Freight International (Freight Forwarder & NVOCC),4.4,17,"7750 NW 46th St, Doral, FL 33166",(305) 403-7755,alvafreight.com,Closed ⋅ Opens 8 AM Thu,not_available,not_available,Freight forwarding service,"RM7H+W6 Doral, Florida",https://www.google.com/maps/place/Alva+Freight+International+%28Freight+Forwarder+%26+NVOCC%29/data=!4m7!3m6!1s0x88d9bbd5b1eeb741:0x69cce2b24a87b268!8m2!3d25.8148668!4d-80.3219217!16s%2Fg%2F1q5gnbz6m!19sChIJQbfusdW72YgRaLKHSrLizGk?authuser=0&hl=en&rclk=1
TRACE EXPRESS,3.6,26,"7949 NW 21st St, Doral, FL 33122",(305) 988-6854,enviacontrace.com,not_available,not_available,not_available,Trucking company,"QMVF+MV Doral, Florida",https://www.google.com/maps/place/TRACE+EXPRESS/data=!4m7!3m6!1s0x88d9b9998b286051:0x4d9e257b6c737e57!8m2!3d25.7942404!4d-80.3253594!16s%2Fg%2F11h0gyv1lz!19sChIJUWAoi5m52YgRV35zbHslnk0?authuser=0&hl=en&rclk=1
